x y rho u v
0 0 1.042812e+00 -6.066274e-03 -5.981729e-03
1 0 1.042817e+00 -6.065026e-03 -5.977204e-03
2 0 1.042822e+00 -6.064802e-03 -5.976356e-03
3 0 1.042828e+00 -6.064600e-03 -5.976146e-03
4 0 1.042834e+00 -6.064028e-03 -5.976442e-03
5 0 1.042841e+00 -6.063872e-03 -5.976781e-03
6 0 1.042848e+00 -6.063354e-03 -5.976809e-03
7 0 1.042856e+00 -6.062840e-03 -5.976425e-03
8 0 1.042864e+00 -6.062231e-03 -5.976287e-03
9 0 1.042872e+00 -6.061038e-03 -5.976232e-03
10 0 1.042882e+00 -6.059881e-03 -5.976113e-03
11 0 1.042891e+00 -6.058149e-03 -5.976168e-03
12 0 1.042901e+00 -6.056516e-03 -5.976004e-03
13 0 1.042910e+00 -6.054534e-03 -5.976005e-03
14 0 1.042920e+00 -6.053004e-03 -5.976019e-03
15 0 1.042930e+00 -6.051056e-03 -5.976095e-03
16 0 1.042940e+00 -6.049307e-03 -5.976138e-03
17 0 1.042950e+00 -6.047394e-03 -5.976364e-03
18 0 1.042959e+00 -6.045458e-03 -5.976761e-03
19 0 1.042969e+00 -6.044032e-03 -5.976935e-03
20 0 1.042978e+00 -6.042200e-03 -5.976965e-03
21 0 1.042988e+00 -6.041012e-03 -5.977017e-03
22 0 1.042997e+00 -6.039305e-03 -5.977095e-03
23 0 1.043005e+00 -6.038046e-03 -5.977310e-03
24 0 1.043013e+00 -6.036482e-03 -5.977310e-03
25 0 1.043021e+00 -6.035252e-03 -5.977411e-03
26 0 1.043029e+00 -6.034194e-03 -5.977307e-03
27 0 1.043036e+00 -6.033380e-03 -5.977426e-03
28 0 1.043043e+00 -6.032249e-03 -5.977489e-03
29 0 1.043050e+00 -6.031485e-03 -5.977337e-03
30 0 1.043056e+00 -6.030544e-03 -5.977154e-03
31 0 1.043062e+00 -6.029944e-03 -5.977163e-03
32 0 1.043068e+00 -6.028949e-03 -5.977320e-03
33 0 1.043074e+00 -6.028465e-03 -5.977498e-03
34 0 1.043079e+00 -6.027907e-03 -5.977449e-03
35 0 1.043085e+00 -6.027741e-03 -5.977540e-03
36 0 1.043089e+00 -6.027543e-03 -5.977633e-03
37 0 1.043093e+00 -6.027747e-03 -5.977680e-03
38 0 1.043097e+00 -6.028138e-03 -5.977764e-03
39 0 1.043101e+00 -6.028297e-03 -5.977512e-03
40 0 1.043104e+00 -6.028727e-03 -5.977427e-03
41 0 1.043107e+00 -6.029277e-03 -5.977482e-03
42 0 1.043108e+00 -6.030228e-03 -5.977483e-03
43 0 1.043109e+00 -6.031212e-03 -5.977516e-03
44 0 1.043109e+00 -6.032132e-03 -5.977526e-03
45 0 1.043110e+00 -6.033231e-03 -5.977463e-03
46 0 1.043109e+00 -6.034070e-03 -5.977461e-03
47 0 1.043108e+00 -6.035367e-03 -5.977354e-03
48 0 1.043106e+00 -6.036495e-03 -5.977397e-03
49 0 1.043104e+00 -6.038024e-03 -5.977457e-03
50 0 1.043102e+00 -6.039369e-03 -5.977583e-03
51 0 1.043099e+00 -6.040578e-03 -5.977435e-03
52 0 1.043096e+00 -6.041968e-03 -5.977599e-03
53 0 1.043093e+00 -6.043252e-03 -5.977535e-03
54 0 1.043089e+00 -6.044971e-03 -5.977668e-03
55 0 1.043084e+00 -6.046665e-03 -5.977566e-03
56 0 1.043080e+00 -6.048211e-03 -5.977407e-03
57 0 1.043075e+00 -6.049826e-03 -5.977365e-03
58 0 1.043071e+00 -6.051659e-03 -5.977212e-03
59 0 1.043066e+00 -6.053500e-03 -5.977156e-03
60 0 1.043061e+00 -6.055240e-03 -5.976937e-03
61 0 1.043056e+00 -6.057358e-03 -5.977219e-03
62 0 1.043049e+00 -6.058871e-03 -5.977133e-03
63 0 1.043043e+00 -6.060775e-03 -5.977184e-03
64 0 1.043036e+00 -6.062580e-03 -5.977057e-03
65 0 1.043030e+00 -6.064565e-03 -5.977300e-03
66 0 1.043024e+00 -6.066341e-03 -5.977132e-03
67 0 1.043017e+00 -6.068258e-03 -5.977302e-03
68 0 1.043010e+00 -6.070317e-03 -5.977080e-03
69 0 1.043003e+00 -6.072328e-03 -5.977344e-03
70 0 1.042996e+00 -6.074699e-03 -5.977305e-03
71 0 1.042989e+00 -6.076560e-03 -5.977385e-03
72 0 1.042981e+00 -6.078525e-03 -5.977318e-03
73 0 1.042973e+00 -6.079919e-03 -5.977511e-03
74 0 1.042965e+00 -6.081505e-03 -5.977562e-03
75 0 1.042957e+00 -6.083171e-03 -5.977528e-03
76 0 1.042950e+00 -6.084569e-03 -5.977480e-03
77 0 1.042943e+00 -6.085851e-03 -5.977562e-03
78 0 1.042936e+00 -6.086929e-03 -5.977630e-03
79 0 1.042930e+00 -6.087618e-03 -5.977581e-03
80 0 1.042923e+00 -6.088136e-03 -5.977634e-03
81 0 1.042917e+00 -6.088399e-03 -5.977575e-03
82 0 1.042911e+00 -6.088494e-03 -5.977474e-03
83 0 1.042904e+00 -6.088135e-03 -5.977313e-03
84 0 1.042899e+00 -6.087975e-03 -5.976992e-03
85 0 1.042894e+00 -6.087638e-03 -5.976919e-03
