x y rho u v
0 0 1.023241e+00 -3.265952e-03 -3.306189e-03
1 0 1.023241e+00 -3.267911e-03 -3.303712e-03
2 0 1.023242e+00 -3.273798e-03 -3.306406e-03
3 0 1.023244e+00 -3.276126e-03 -3.307297e-03
4 0 1.023246e+00 -3.280614e-03 -3.307699e-03
5 0 1.023247e+00 -3.282762e-03 -3.307875e-03
6 0 1.023249e+00 -3.287629e-03 -3.308204e-03
7 0 1.023250e+00 -3.290112e-03 -3.308379e-03
8 0 1.023251e+00 -3.294947e-03 -3.308565e-03
9 0 1.023253e+00 -3.297374e-03 -3.308715e-03
10 0 1.023255e+00 -3.302283e-03 -3.308680e-03
11 0 1.023257e+00 -3.304278e-03 -3.308637e-03
12 0 1.023259e+00 -3.309115e-03 -3.308706e-03
13 0 1.023261e+00 -3.311390e-03 -3.308902e-03
14 0 1.023263e+00 -3.316065e-03 -3.309046e-03
15 0 1.023265e+00 -3.318106e-03 -3.309088e-03
16 0 1.023268e+00 -3.322940e-03 -3.308960e-03
17 0 1.023270e+00 -3.324979e-03 -3.309026e-03
18 0 1.023273e+00 -3.329942e-03 -3.308898e-03
19 0 1.023275e+00 -3.331854e-03 -3.309075e-03
20 0 1.023278e+00 -3.336841e-03 -3.309193e-03
21 0 1.023281e+00 -3.338675e-03 -3.309194e-03
22 0 1.023285e+00 -3.343623e-03 -3.309146e-03
23 0 1.023288e+00 -3.344773e-03 -3.309404e-03
24 0 1.023292e+00 -3.349287e-03 -3.309543e-03
25 0 1.023295e+00 -3.350988e-03 -3.309640e-03
26 0 1.023299e+00 -3.355800e-03 -3.309774e-03
27 0 1.023302e+00 -3.357294e-03 -3.309608e-03
28 0 1.023305e+00 -3.361851e-03 -3.309699e-03
29 0 1.023309e+00 -3.363345e-03 -3.309663e-03
30 0 1.023313e+00 -3.367809e-03 -3.309571e-03
31 0 1.023317e+00 -3.368961e-03 -3.309545e-03
32 0 1.023321e+00 -3.373277e-03 -3.309547e-03
33 0 1.023325e+00 -3.373980e-03 -3.309511e-03
34 0 1.023329e+00 -3.378005e-03 -3.309694e-03
35 0 1.023333e+00 -3.378765e-03 -3.309663e-03
36 0 1.023337e+00 -3.382352e-03 -3.309860e-03
37 0 1.023340e+00 -3.382812e-03 -3.309740e-03
38 0 1.023343e+00 -3.386041e-03 -3.309647e-03
39 0 1.023347e+00 -3.385989e-03 -3.309530e-03
40 0 1.023350e+00 -3.388932e-03 -3.309485e-03
41 0 1.023354e+00 -3.389090e-03 -3.309301e-03
42 0 1.023358e+00 -3.391710e-03 -3.309143e-03
43 0 1.023362e+00 -3.391095e-03 -3.308991e-03
44 0 1.023365e+00 -3.393320e-03 -3.308856e-03
45 0 1.023367e+00 -3.392254e-03 -3.308769e-03
46 0 1.023370e+00 -3.394371e-03 -3.308764e-03
47 0 1.023373e+00 -3.393097e-03 -3.308726e-03
48 0 1.023376e+00 -3.394660e-03 -3.308455e-03
49 0 1.023378e+00 -3.392996e-03 -3.308418e-03
50 0 1.023379e+00 -3.393901e-03 -3.308146e-03
51 0 1.023379e+00 -3.391491e-03 -3.308153e-03
52 0 1.023380e+00 -3.391908e-03 -3.308322e-03
53 0 1.023381e+00 -3.388873e-03 -3.308301e-03
