x y rho u v
0 0 1.050910e+00 -7.196761e-03 -7.176151e-03
1 0 1.050917e+00 -7.195270e-03 -7.171847e-03
2 0 1.050924e+00 -7.195196e-03 -7.172332e-03
3 0 1.050932e+00 -7.194806e-03 -7.172299e-03
4 0 1.050939e+00 -7.194239e-03 -7.172588e-03
5 0 1.050947e+00 -7.194125e-03 -7.172632e-03
6 0 1.050954e+00 -7.193702e-03 -7.172569e-03
7 0 1.050960e+00 -7.193384e-03 -7.172564e-03
8 0 1.050967e+00 -7.193116e-03 -7.172653e-03
9 0 1.050974e+00 -7.193023e-03 -7.172696e-03
10 0 1.050979e+00 -7.192785e-03 -7.172592e-03
11 0 1.050985e+00 -7.192377e-03 -7.172645e-03
12 0 1.050990e+00 -7.192576e-03 -7.172665e-03
13 0 1.050996e+00 -7.192233e-03 -7.172704e-03
14 0 1.051002e+00 -7.192285e-03 -7.172773e-03
15 0 1.051007e+00 -7.192061e-03 -7.172896e-03
16 0 1.051013e+00 -7.192446e-03 -7.173051e-03
17 0 1.051018e+00 -7.192508e-03 -7.173013e-03
18 0 1.051023e+00 -7.192854e-03 -7.173005e-03
19 0 1.051027e+00 -7.192960e-03 -7.173237e-03
20 0 1.051032e+00 -7.193290e-03 -7.173128e-03
21 0 1.051037e+00 -7.193793e-03 -7.173159e-03
22 0 1.051041e+00 -7.194540e-03 -7.173141e-03
23 0 1.051045e+00 -7.195292e-03 -7.173074e-03
24 0 1.051049e+00 -7.195982e-03 -7.172966e-03
25 0 1.051053e+00 -7.196991e-03 -7.172999e-03
26 0 1.051056e+00 -7.197585e-03 -7.172755e-03
27 0 1.051059e+00 -7.198566e-03 -7.172998e-03
28 0 1.051062e+00 -7.199071e-03 -7.172900e-03
29 0 1.051065e+00 -7.200520e-03 -7.172950e-03
30 0 1.051067e+00 -7.201581e-03 -7.173111e-03
31 0 1.051069e+00 -7.202998e-03 -7.173274e-03
32 0 1.051070e+00 -7.204181e-03 -7.173436e-03
33 0 1.051072e+00 -7.205794e-03 -7.173617e-03
34 0 1.051073e+00 -7.207310e-03 -7.173873e-03
35 0 1.051074e+00 -7.208979e-03 -7.174112e-03
36 0 1.051076e+00 -7.210729e-03 -7.174294e-03
37 0 1.051076e+00 -7.212377e-03 -7.174481e-03
38 0 1.051077e+00 -7.214466e-03 -7.174451e-03
39 0 1.051077e+00 -7.216117e-03 -7.174531e-03
40 0 1.051077e+00 -7.218355e-03 -7.174407e-03
41 0 1.051078e+00 -7.219844e-03 -7.174579e-03
42 0 1.051077e+00 -7.221849e-03 -7.174641e-03
43 0 1.051077e+00 -7.223370e-03 -7.174329e-03
44 0 1.051076e+00 -7.225464e-03 -7.174572e-03
45 0 1.051073e+00 -7.227426e-03 -7.174504e-03
46 0 1.051071e+00 -7.229747e-03 -7.174408e-03
47 0 1.051068e+00 -7.232016e-03 -7.174283e-03
48 0 1.051065e+00 -7.234131e-03 -7.174200e-03
49 0 1.051062e+00 -7.236636e-03 -7.174348e-03
50 0 1.051058e+00 -7.238845e-03 -7.174333e-03
51 0 1.051054e+00 -7.240988e-03 -7.174338e-03
52 0 1.051050e+00 -7.243363e-03 -7.174058e-03
53 0 1.051045e+00 -7.245567e-03 -7.174082e-03
54 0 1.051041e+00 -7.247600e-03 -7.173793e-03
55 0 1.051036e+00 -7.249339e-03 -7.173531e-03
56 0 1.051031e+00 -7.250848e-03 -7.173480e-03
57 0 1.051027e+00 -7.252576e-03 -7.173586e-03
58 0 1.051022e+00 -7.253686e-03 -7.173563e-03
59 0 1.051017e+00 -7.255182e-03 -7.173417e-03
60 0 1.051012e+00 -7.256120e-03 -7.173488e-03
61 0 1.051007e+00 -7.257685e-03 -7.173727e-03
62 0 1.051003e+00 -7.258513e-03 -7.173655e-03
63 0 1.050999e+00 -7.260476e-03 -7.173536e-03
64 0 1.050995e+00 -7.260927e-03 -7.173612e-03
65 0 1.050991e+00 -7.262289e-03 -7.173707e-03
66 0 1.050987e+00 -7.262891e-03 -7.173722e-03
67 0 1.050984e+00 -7.264182e-03 -7.173558e-03
68 0 1.050981e+00 -7.264586e-03 -7.173366e-03
69 0 1.050977e+00 -7.265540e-03 -7.173202e-03
70 0 1.050975e+00 -7.266310e-03 -7.173089e-03
71 0 1.050972e+00 -7.266929e-03 -7.173250e-03
72 0 1.050968e+00 -7.267268e-03 -7.173216e-03
73 0 1.050964e+00 -7.267577e-03 -7.173068e-03
74 0 1.050961e+00 -7.267618e-03 -7.172979e-03
75 0 1.050957e+00 -7.267083e-03 -7.173013e-03
76 0 1.050953e+00 -7.267090e-03 -7.172975e-03
77 0 1.050949e+00 -7.267094e-03 -7.173126e-03
78 0 1.050946e+00 -7.267134e-03 -7.172790e-03
79 0 1.050943e+00 -7.266925e-03 -7.172724e-03
80 0 1.050939e+00 -7.266748e-03 -7.172325e-03
81 0 1.050935e+00 -7.266220e-03 -7.172232e-03
82 0 1.050932e+00 -7.265648e-03 -7.172047e-03
83 0 1.050929e+00 -7.265155e-03 -7.172050e-03
84 0 1.050926e+00 -7.264426e-03 -7.172035e-03
85 0 1.050923e+00 -7.263989e-03 -7.171907e-03
86 0 1.050920e+00 -7.263328e-03 -7.171813e-03
87 0 1.050917e+00 -7.262563e-03 -7.171912e-03
88 0 1.050914e+00 -7.261970e-03 -7.171997e-03
89 0 1.050911e+00 -7.260835e-03 -7.171957e-03
90 0 1.050908e+00 -7.260090e-03 -7.172070e-03
91 0 1.050905e+00 -7.258677e-03 -7.172180e-03
92 0 1.050902e+00 -7.258078e-03 -7.172201e-03
93 0 1.050900e+00 -7.257204e-03 -7.172399e-03
94 0 1.050898e+00 -7.256885e-03 -7.172480e-03
95 0 1.050896e+00 -7.255875e-03 -7.172189e-03
96 0 1.050894e+00 -7.255442e-03 -7.172302e-03
97 0 1.050892e+00 -7.254343e-03 -7.172230e-03
98 0 1.050890e+00 -7.253748e-03 -7.172377e-03
99 0 1.050888e+00 -7.252421e-03 -7.172526e-03
100 0 1.050887e+00 -7.251800e-03 -7.172444e-03
101 0 1.050885e+00 -7.250404e-03 -7.172542e-03
102 0 1.050883e+00 -7.249683e-03 -7.172746e-03
103 0 1.050882e+00 -7.248204e-03 -7.172811e-03
104 0 1.050880e+00 -7.247215e-03 -7.172693e-03
105 0 1.050879e+00 -7.245635e-03 -7.172572e-03
106 0 1.050877e+00 -7.244534e-03 -7.172700e-03
107 0 1.050876e+00 -7.243085e-03 -7.172555e-03
108 0 1.050874e+00 -7.241862e-03 -7.172426e-03
109 0 1.050872e+00 -7.240054e-03 -7.172422e-03
110 0 1.050870e+00 -7.238238e-03 -7.172304e-03
111 0 1.050869e+00 -7.235977e-03 -7.172219e-03
112 0 1.050867e+00 -7.233656e-03 -7.171886e-03
113 0 1.050865e+00 -7.230932e-03 -7.171867e-03
114 0 1.050864e+00 -7.228331e-03 -7.171996e-03
115 0 1.050863e+00 -7.225444e-03 -7.171980e-03
116 0 1.050862e+00 -7.222891e-03 -7.171893e-03
117 0 1.050862e+00 -7.220238e-03 -7.171856e-03
118 0 1.050863e+00 -7.217960e-03 -7.172005e-03
119 0 1.050864e+00 -7.215698e-03 -7.171972e-03
120 0 1.050867e+00 -7.213519e-03 -7.172097e-03
121 0 1.050870e+00 -7.211270e-03 -7.172004e-03
122 0 1.050873e+00 -7.209276e-03 -7.172143e-03
123 0 1.050877e+00 -7.207124e-03 -7.172257e-03
124 0 1.050882e+00 -7.204966e-03 -7.171934e-03
125 0 1.050887e+00 -7.203443e-03 -7.171594e-03
126 0 1.050893e+00 -7.202573e-03 -7.171791e-03
127 0 1.050899e+00 -7.200852e-03 -7.176001e-03
0 1 1.050906e+00 -7.196992e-03 -7.175428e-03
1 1 1.050913e+00 -7.195929e-03 -7.169930e-03
2 1 1.050919e+00 -7.195551e-03 -7.170341e-03
3 1 1.050928e+00 -7.195425e-03 -7.170861e-03
4 1 1.050935e+00 -7.195107e-03 -7.171099e-03
5 1 1.050942e+00 -7.195028e-03 -7.171077e-03
6 1 1.050949e+00 -7.194673e-03 -7.171012e-03
7 1 1.050955e+00 -7.194450e-03 -7.170985e-03
8 1 1.050962e+00 -7.194321e-03 -7.171130e-03
9 1 1.050968e+00 -7.194086e-03 -7.170917e-03
10 1 1.050974e+00 -7.194030e-03 -7.171084e-03
11 1 1.050980e+00 -7.193753e-03 -7.171059e-03
12 1 1.050986e+00 -7.193537e-03 -7.171063e-03
13 1 1.050991e+00 -7.193346e-03 -7.170911e-03
14 1 1.050997e+00 -7.192973e-03 -7.171153e-03
15 1 1.051003e+00 -7.193016e-03 -7.171173e-03
16 1 1.051008e+00 -7.193057e-03 -7.171564e-03
17 1 1.051013e+00 -7.192910e-03 -7.171453e-03
18 1 1.051018e+00 -7.193250e-03 -7.171405e-03
19 1 1.051023e+00 -7.193143e-03 -7.171420e-03
20 1 1.051028e+00 -7.193509e-03 -7.171339e-03
21 1 1.051032e+00 -7.193961e-03 -7.171358e-03
22 1 1.051036e+00 -7.194382e-03 -7.171437e-03
23 1 1.051041e+00 -7.195198e-03 -7.171622e-03
24 1 1.051044e+00 -7.195718e-03 -7.171531e-03
25 1 1.051048e+00 -7.196658e-03 -7.171405e-03
26 1 1.051052e+00 -7.197193e-03 -7.171323e-03
27 1 1.051055e+00 -7.198138e-03 -7.171483e-03
28 1 1.051058e+00 -7.198633e-03 -7.171565e-03
29 1 1.051060e+00 -7.199883e-03 -7.171581e-03
30 1 1.051063e+00 -7.201002e-03 -7.171723e-03
31 1 1.051065e+00 -7.202390e-03 -7.171971e-03
32 1 1.051066e+00 -7.203548e-03 -7.172112e-03
33 1 1.051068e+00 -7.205065e-03 -7.172217e-03
34 1 1.051069e+00 -7.206843e-03 -7.172376e-03
35 1 1.051071e+00 -7.208345e-03 -7.172648e-03
36 1 1.051072e+00 -7.210014e-03 -7.172989e-03
37 1 1.051072e+00 -7.211612e-03 -7.173096e-03
38 1 1.051073e+00 -7.213715e-03 -7.173050e-03
39 1 1.051074e+00 -7.215111e-03 -7.173147e-03
40 1 1.051074e+00 -7.217342e-03 -7.173222e-03
41 1 1.051074e+00 -7.218819e-03 -7.173073e-03
42 1 1.051073e+00 -7.220654e-03 -7.173232e-03
43 1 1.051073e+00 -7.222450e-03 -7.173187e-03
44 1 1.051071e+00 -7.224341e-03 -7.173254e-03
45 1 1.051069e+00 -7.226333e-03 -7.173075e-03
46 1 1.051067e+00 -7.228339e-03 -7.172773e-03
