x y rho u v
0 0 1.046721e+00 -6.569450e-03 -6.637555e-03
1 0 1.046714e+00 -6.570861e-03 -6.640874e-03
2 0 1.046707e+00 -6.572259e-03 -6.642490e-03
3 0 1.046700e+00 -6.572939e-03 -6.643195e-03
4 0 1.046693e+00 -6.573439e-03 -6.643281e-03
5 0 1.046686e+00 -6.573956e-03 -6.643075e-03
6 0 1.046680e+00 -6.574687e-03 -6.643174e-03
7 0 1.046673e+00 -6.575651e-03 -6.643357e-03
8 0 1.046666e+00 -6.576436e-03 -6.643342e-03
9 0 1.046659e+00 -6.577249e-03 -6.643196e-03
10 0 1.046652e+00 -6.577750e-03 -6.643091e-03
11 0 1.046645e+00 -6.578613e-03 -6.643034e-03
12 0 1.046638e+00 -6.579404e-03 -6.642999e-03
13 0 1.046631e+00 -6.580160e-03 -6.642981e-03
14 0 1.046623e+00 -6.580846e-03 -6.643074e-03
15 0 1.046616e+00 -6.581928e-03 -6.643065e-03
16 0 1.046609e+00 -6.582515e-03 -6.643012e-03
17 0 1.046603e+00 -6.583225e-03 -6.642844e-03
18 0 1.046595e+00 -6.583431e-03 -6.642736e-03
19 0 1.046589e+00 -6.584049e-03 -6.642757e-03
20 0 1.046582e+00 -6.584422e-03 -6.642856e-03
21 0 1.046576e+00 -6.585277e-03 -6.642880e-03
22 0 1.046571e+00 -6.585544e-03 -6.642934e-03
23 0 1.046565e+00 -6.586283e-03 -6.642944e-03
24 0 1.046560e+00 -6.586706e-03 -6.642965e-03
25 0 1.046554e+00 -6.587416e-03 -6.642832e-03
26 0 1.046549e+00 -6.587347e-03 -6.642778e-03
27 0 1.046544e+00 -6.588132e-03 -6.642770e-03
28 0 1.046541e+00 -6.588175e-03 -6.642785e-03
29 0 1.046538e+00 -6.589044e-03 -6.642894e-03
30 0 1.046534e+00 -6.589237e-03 -6.642863e-03
31 0 1.046531e+00 -6.590310e-03 -6.642916e-03
32 0 1.046530e+00 -6.590912e-03 -6.643150e-03
33 0 1.046529e+00 -6.592947e-03 -6.643115e-03
34 0 1.046530e+00 -6.594331e-03 -6.643087e-03
35 0 1.046531e+00 -6.596349e-03 -6.643082e-03
36 0 1.046532e+00 -6.597893e-03 -6.642972e-03
37 0 1.046532e+00 -6.599754e-03 -6.642835e-03
38 0 1.046533e+00 -6.601108e-03 -6.642831e-03
39 0 1.046534e+00 -6.602853e-03 -6.642890e-03
40 0 1.046536e+00 -6.604426e-03 -6.642900e-03
41 0 1.046538e+00 -6.606488e-03 -6.642823e-03
42 0 1.046539e+00 -6.608206e-03 -6.642768e-03
43 0 1.046542e+00 -6.610640e-03 -6.642719e-03
44 0 1.046544e+00 -6.612075e-03 -6.642764e-03
45 0 1.046546e+00 -6.614452e-03 -6.642612e-03
46 0 1.046549e+00 -6.615771e-03 -6.642660e-03
47 0 1.046551e+00 -6.618075e-03 -6.642667e-03
48 0 1.046553e+00 -6.619416e-03 -6.642617e-03
49 0 1.046556e+00 -6.621649e-03 -6.642506e-03
50 0 1.046557e+00 -6.622815e-03 -6.642421e-03
51 0 1.046559e+00 -6.625124e-03 -6.642552e-03
52 0 1.046561e+00 -6.626859e-03 -6.642459e-03
53 0 1.046563e+00 -6.629401e-03 -6.642636e-03
54 0 1.046565e+00 -6.630501e-03 -6.642615e-03
55 0 1.046569e+00 -6.633078e-03 -6.642591e-03
56 0 1.046572e+00 -6.634112e-03 -6.642569e-03
57 0 1.046574e+00 -6.636223e-03 -6.642751e-03
58 0 1.046578e+00 -6.637467e-03 -6.642709e-03
59 0 1.046581e+00 -6.639544e-03 -6.642443e-03
60 0 1.046584e+00 -6.640556e-03 -6.642436e-03
61 0 1.046587e+00 -6.642492e-03 -6.642274e-03
62 0 1.046591e+00 -6.643371e-03 -6.642280e-03
63 0 1.046595e+00 -6.645216e-03 -6.642149e-03
64 0 1.046600e+00 -6.645935e-03 -6.641957e-03
65 0 1.046604e+00 -6.647465e-03 -6.641843e-03
66 0 1.046609e+00 -6.648031e-03 -6.641630e-03
67 0 1.046614e+00 -6.649179e-03 -6.641559e-03
68 0 1.046618e+00 -6.649844e-03 -6.641464e-03
69 0 1.046623e+00 -6.650695e-03 -6.641528e-03
70 0 1.046628e+00 -6.651022e-03 -6.641456e-03
71 0 1.046632e+00 -6.651490e-03 -6.641467e-03
72 0 1.046637e+00 -6.651625e-03 -6.641244e-03
73 0 1.046642e+00 -6.651870e-03 -6.641244e-03
74 0 1.046647e+00 -6.651547e-03 -6.641130e-03
75 0 1.046651e+00 -6.651361e-03 -6.640914e-03
76 0 1.046656e+00 -6.650515e-03 -6.640896e-03
77 0 1.046660e+00 -6.649944e-03 -6.640798e-03
78 0 1.046664e+00 -6.648801e-03 -6.640610e-03
79 0 1.046668e+00 -6.648226e-03 -6.640486e-03
80 0 1.046672e+00 -6.646790e-03 -6.640356e-03
81 0 1.046677e+00 -6.645584e-03 -6.640388e-03
