x y rho u v
0 0 1.023004e+00 -3.278523e-03 -3.320957e-03
1 0 1.022998e+00 -3.275504e-03 -3.329943e-03
2 0 1.022993e+00 -3.272713e-03 -3.331024e-03
3 0 1.022988e+00 -3.269042e-03 -3.331278e-03
4 0 1.022983e+00 -3.266739e-03 -3.331316e-03
5 0 1.022979e+00 -3.263548e-03 -3.331821e-03
6 0 1.022975e+00 -3.261482e-03 -3.332379e-03
7 0 1.022971e+00 -3.258036e-03 -3.332760e-03
8 0 1.022967e+00 -3.255947e-03 -3.332887e-03
9 0 1.022964e+00 -3.253049e-03 -3.333147e-03
10 0 1.022961e+00 -3.251295e-03 -3.333488e-03
11 0 1.022959e+00 -3.248530e-03 -3.333623e-03
12 0 1.022956e+00 -3.246982e-03 -3.333840e-03
13 0 1.022954e+00 -3.244021e-03 -3.333838e-03
14 0 1.022952e+00 -3.243124e-03 -3.334085e-03
15 0 1.022951e+00 -3.240848e-03 -3.334147e-03
16 0 1.022950e+00 -3.240264e-03 -3.334448e-03
17 0 1.022950e+00 -3.238071e-03 -3.334574e-03
18 0 1.022949e+00 -3.237384e-03 -3.334840e-03
19 0 1.022949e+00 -3.235508e-03 -3.335183e-03
20 0 1.022949e+00 -3.235250e-03 -3.335508e-03
21 0 1.022949e+00 -3.233827e-03 -3.335711e-03
22 0 1.022951e+00 -3.233916e-03 -3.336086e-03
23 0 1.022952e+00 -3.232390e-03 -3.336292e-03
24 0 1.022953e+00 -3.232692e-03 -3.336514e-03
25 0 1.022954e+00 -3.231103e-03 -3.336925e-03
26 0 1.022956e+00 -3.231648e-03 -3.337275e-03
27 0 1.022957e+00 -3.230231e-03 -3.337445e-03
28 0 1.022959e+00 -3.231127e-03 -3.337509e-03
29 0 1.022961e+00 -3.230099e-03 -3.337672e-03
30 0 1.022965e+00 -3.231126e-03 -3.337872e-03
31 0 1.022968e+00 -3.229978e-03 -3.337924e-03
32 0 1.022972e+00 -3.231411e-03 -3.337761e-03
33 0 1.022975e+00 -3.230400e-03 -3.338038e-03
34 0 1.022978e+00 -3.231843e-03 -3.338136e-03
35 0 1.022982e+00 -3.230721e-03 -3.338170e-03
36 0 1.022986e+00 -3.232426e-03 -3.338404e-03
37 0 1.022990e+00 -3.231200e-03 -3.338313e-03
38 0 1.022994e+00 -3.232956e-03 -3.338554e-03
39 0 1.022999e+00 -3.231599e-03 -3.338527e-03
40 0 1.023004e+00 -3.233222e-03 -3.338766e-03
41 0 1.023008e+00 -3.231939e-03 -3.338732e-03
42 0 1.023014e+00 -3.233567e-03 -3.338670e-03
43 0 1.023019e+00 -3.232410e-03 -3.338819e-03
44 0 1.023024e+00 -3.234217e-03 -3.339021e-03
45 0 1.023029e+00 -3.233111e-03 -3.339261e-03
46 0 1.023035e+00 -3.234895e-03 -3.339250e-03
47 0 1.023042e+00 -3.233582e-03 -3.339167e-03
48 0 1.023048e+00 -3.235442e-03 -3.339115e-03
49 0 1.023055e+00 -3.233872e-03 -3.339107e-03
50 0 1.023062e+00 -3.235771e-03 -3.339144e-03
51 0 1.023068e+00 -3.234179e-03 -3.339218e-03
52 0 1.023075e+00 -3.235976e-03 -3.339385e-03
53 0 1.023082e+00 -3.234486e-03 -3.339379e-03
54 0 1.023089e+00 -3.236388e-03 -3.339420e-03
55 0 1.023096e+00 -3.234480e-03 -3.339419e-03
56 0 1.023103e+00 -3.236484e-03 -3.339527e-03
57 0 1.023110e+00 -3.235128e-03 -3.339465e-03
58 0 1.023118e+00 -3.237511e-03 -3.339574e-03
59 0 1.023125e+00 -3.236127e-03 -3.339660e-03
60 0 1.023133e+00 -3.238274e-03 -3.339753e-03
61 0 1.023140e+00 -3.236896e-03 -3.339724e-03
62 0 1.023147e+00 -3.239640e-03 -3.339642e-03
63 0 1.023154e+00 -3.238325e-03 -3.339677e-03
64 0 1.023161e+00 -3.240904e-03 -3.339685e-03
65 0 1.023168e+00 -3.239731e-03 -3.339713e-03
66 0 1.023173e+00 -3.242505e-03 -3.339591e-03
67 0 1.023179e+00 -3.241793e-03 -3.339431e-03
68 0 1.023185e+00 -3.244889e-03 -3.339410e-03
69 0 1.023191e+00 -3.244309e-03 -3.339355e-03
70 0 1.023196e+00 -3.247443e-03 -3.339183e-03
71 0 1.023200e+00 -3.246800e-03 -3.339313e-03
72 0 1.023204e+00 -3.250747e-03 -3.339328e-03
73 0 1.023208e+00 -3.250797e-03 -3.339150e-03
74 0 1.023212e+00 -3.254978e-03 -3.338962e-03
75 0 1.023215e+00 -3.254994e-03 -3.338881e-03
76 0 1.023218e+00 -3.259365e-03 -3.338557e-03
77 0 1.023221e+00 -3.259660e-03 -3.338834e-03
78 0 1.023223e+00 -3.264259e-03 -3.338958e-03
79 0 1.023225e+00 -3.265179e-03 -3.338725e-03
80 0 1.023227e+00 -3.270131e-03 -3.338276e-03
81 0 1.023227e+00 -3.271070e-03 -3.338131e-03
82 0 1.023228e+00 -3.275691e-03 -3.338049e-03
83 0 1.023228e+00 -3.276987e-03 -3.338135e-03
84 0 1.023228e+00 -3.281734e-03 -3.338136e-03
