x y rho u v
0 0 1.027688e+00 -3.949645e-03 -3.992136e-03
1 0 1.027677e+00 -3.944174e-03 -4.001496e-03
2 0 1.027667e+00 -3.937888e-03 -4.002217e-03
3 0 1.027658e+00 -3.931724e-03 -4.002662e-03
4 0 1.027650e+00 -3.926783e-03 -4.002398e-03
5 0 1.027644e+00 -3.921265e-03 -4.002595e-03
6 0 1.027638e+00 -3.916718e-03 -4.002828e-03
7 0 1.027634e+00 -3.912277e-03 -4.003044e-03
8 0 1.027630e+00 -3.908725e-03 -4.003067e-03
9 0 1.027627e+00 -3.904969e-03 -4.003131e-03
10 0 1.027625e+00 -3.901742e-03 -4.003141e-03
11 0 1.027624e+00 -3.898654e-03 -4.003304e-03
12 0 1.027624e+00 -3.896017e-03 -4.003479e-03
13 0 1.027624e+00 -3.893282e-03 -4.003428e-03
14 0 1.027626e+00 -3.890990e-03 -4.003413e-03
15 0 1.027629e+00 -3.888945e-03 -4.003493e-03
16 0 1.027632e+00 -3.887461e-03 -4.003621e-03
17 0 1.027636e+00 -3.885830e-03 -4.003777e-03
18 0 1.027641e+00 -3.885001e-03 -4.003887e-03
19 0 1.027647e+00 -3.883861e-03 -4.003895e-03
20 0 1.027654e+00 -3.883752e-03 -4.004111e-03
21 0 1.027662e+00 -3.883415e-03 -4.004385e-03
22 0 1.027671e+00 -3.884112e-03 -4.004505e-03
23 0 1.027681e+00 -3.884264e-03 -4.004496e-03
24 0 1.027692e+00 -3.885494e-03 -4.004688e-03
25 0 1.027703e+00 -3.886227e-03 -4.004753e-03
26 0 1.027715e+00 -3.888008e-03 -4.005005e-03
27 0 1.027728e+00 -3.889262e-03 -4.005225e-03
28 0 1.027742e+00 -3.891724e-03 -4.005211e-03
29 0 1.027758e+00 -3.893553e-03 -4.005126e-03
30 0 1.027774e+00 -3.896414e-03 -4.005220e-03
31 0 1.027790e+00 -3.898757e-03 -4.005250e-03
32 0 1.027808e+00 -3.902006e-03 -4.005112e-03
33 0 1.027825e+00 -3.904748e-03 -4.005245e-03
34 0 1.027843e+00 -3.908014e-03 -4.005237e-03
35 0 1.027861e+00 -3.910634e-03 -4.005249e-03
36 0 1.027879e+00 -3.913525e-03 -4.005286e-03
37 0 1.027897e+00 -3.915687e-03 -4.005248e-03
38 0 1.027915e+00 -3.917906e-03 -4.005188e-03
39 0 1.027933e+00 -3.919411e-03 -4.005309e-03
40 0 1.027950e+00 -3.920967e-03 -4.005377e-03
41 0 1.027968e+00 -3.921873e-03 -4.005131e-03
42 0 1.027985e+00 -3.922678e-03 -4.005031e-03
43 0 1.028002e+00 -3.922659e-03 -4.004797e-03
44 0 1.028019e+00 -3.922476e-03 -4.004625e-03
45 0 1.028036e+00 -3.921454e-03 -4.004527e-03
46 0 1.028053e+00 -3.920207e-03 -4.004334e-03
47 0 1.028069e+00 -3.918641e-03 -4.004116e-03
48 0 1.028087e+00 -3.917467e-03 -4.003843e-03
49 0 1.028102e+00 -3.915777e-03 -4.003797e-03
50 0 1.028117e+00 -3.914430e-03 -4.003741e-03
51 0 1.028132e+00 -3.913222e-03 -4.003775e-03
52 0 1.028146e+00 -3.912188e-03 -4.003780e-03
53 0 1.028159e+00 -3.910848e-03 -4.003944e-03
54 0 1.028172e+00 -3.910223e-03 -4.003868e-03
55 0 1.028184e+00 -3.909432e-03 -4.004034e-03
56 0 1.028195e+00 -3.909100e-03 -4.003956e-03
57 0 1.028206e+00 -3.908555e-03 -4.004075e-03
58 0 1.028216e+00 -3.908922e-03 -4.004127e-03
59 0 1.028226e+00 -3.908561e-03 -4.004143e-03
60 0 1.028234e+00 -3.908648e-03 -4.004161e-03
61 0 1.028243e+00 -3.908135e-03 -4.004236e-03
62 0 1.028250e+00 -3.908037e-03 -4.004005e-03
63 0 1.028257e+00 -3.907211e-03 -4.003894e-03
64 0 1.028263e+00 -3.906932e-03 -4.003714e-03
65 0 1.028268e+00 -3.906144e-03 -4.003588e-03
66 0 1.028273e+00 -3.906150e-03 -4.003817e-03
67 0 1.028278e+00 -3.905419e-03 -4.003806e-03
68 0 1.028282e+00 -3.905497e-03 -4.003831e-03
69 0 1.028286e+00 -3.904783e-03 -4.003798e-03
70 0 1.028289e+00 -3.904602e-03 -4.003702e-03
71 0 1.028293e+00 -3.903752e-03 -4.003505e-03
72 0 1.028295e+00 -3.903589e-03 -4.003553e-03
73 0 1.028298e+00 -3.903028e-03 -4.003489e-03
74 0 1.028299e+00 -3.902856e-03 -4.003629e-03
75 0 1.028300e+00 -3.902589e-03 -4.003664e-03
76 0 1.028301e+00 -3.902427e-03 -4.003583e-03
77 0 1.028301e+00 -3.902525e-03 -4.003658e-03
78 0 1.028302e+00 -3.902644e-03 -4.003649e-03
79 0 1.028302e+00 -3.902929e-03 -4.003513e-03
80 0 1.028302e+00 -3.903243e-03 -4.003523e-03
81 0 1.028301e+00 -3.904296e-03 -4.003469e-03
82 0 1.028300e+00 -3.905273e-03 -4.003531e-03
83 0 1.028299e+00 -3.906650e-03 -4.003394e-03
84 0 1.028297e+00 -3.907515e-03 -4.003290e-03
85 0 1.028295e+00 -3.909008e-03 -4.003286e-03
86 0 1.028292e+00 -3.910052e-03 -4.003270e-03
87 0 1.028288e+00 -3.911958e-03 -4.003369e-03
88 0 1.028282e+00 -3.913701e-03 -4.003502e-03
89 0 1.028276e+00 -3.915995e-03 -4.003368e-03
90 0 1.028268e+00 -3.918198e-03 -4.003321e-03
91 0 1.028259e+00 -3.921235e-03 -4.003436e-03
92 0 1.028248e+00 -3.924134e-03 -4.003473e-03
93 0 1.028236e+00 -3.927741e-03 -4.003469e-03
94 0 1.028221e+00 -3.931419e-03 -4.003490e-03
95 0 1.028206e+00 -3.936120e-03 -4.003499e-03
96 0 1.028190e+00 -3.940169e-03 -4.003661e-03
97 0 1.028175e+00 -3.945242e-03 -4.003628e-03
98 0 1.028158e+00 -3.949469e-03 -4.003603e-03
99 0 1.028141e+00 -3.954683e-03 -4.003572e-03
100 0 1.028124e+00 -3.958649e-03 -4.003489e-03
101 0 1.028106e+00 -3.963606e-03 -4.003572e-03
102 0 1.028088e+00 -3.967182e-03 -4.003739e-03
103 0 1.028071e+00 -3.971447e-03 -4.003595e-03
104 0 1.028053e+00 -3.974141e-03 -4.003441e-03
105 0 1.028035e+00 -3.977340e-03 -4.003383e-03
106 0 1.028017e+00 -3.979597e-03 -4.003458e-03
107 0 1.028000e+00 -3.982423e-03 -4.003260e-03
108 0 1.027983e+00 -3.984191e-03 -4.003042e-03
109 0 1.027967e+00 -3.986410e-03 -4.003087e-03
110 0 1.027951e+00 -3.987419e-03 -4.003101e-03
111 0 1.027934e+00 -3.989060e-03 -4.002929e-03
112 0 1.027918e+00 -3.989537e-03 -4.002900e-03
113 0 1.027903e+00 -3.990467e-03 -4.002653e-03
114 0 1.027887e+00 -3.990415e-03 -4.002525e-03
115 0 1.027872e+00 -3.990529e-03 -4.002299e-03
116 0 1.027857e+00 -3.989534e-03 -4.002436e-03
117 0 1.027842e+00 -3.988935e-03 -4.002581e-03
