x y rho u v
0 0 1.046610e+00 -6.607403e-03 -6.620889e-03
1 0 1.046604e+00 -6.609870e-03 -6.625768e-03
2 0 1.046597e+00 -6.611004e-03 -6.626112e-03
3 0 1.046591e+00 -6.612211e-03 -6.626606e-03
4 0 1.046585e+00 -6.613352e-03 -6.626579e-03
5 0 1.046579e+00 -6.614283e-03 -6.626405e-03
6 0 1.046573e+00 -6.615188e-03 -6.626434e-03
7 0 1.046568e+00 -6.616119e-03 -6.626450e-03
8 0 1.046563e+00 -6.616909e-03 -6.626287e-03
9 0 1.046557e+00 -6.617584e-03 -6.626247e-03
10 0 1.046552e+00 -6.618185e-03 -6.626286e-03
11 0 1.046546e+00 -6.618626e-03 -6.626366e-03
12 0 1.046541e+00 -6.619161e-03 -6.626328e-03
13 0 1.046536e+00 -6.619161e-03 -6.626181e-03
14 0 1.046532e+00 -6.619497e-03 -6.626107e-03
15 0 1.046526e+00 -6.619617e-03 -6.625855e-03
16 0 1.046521e+00 -6.619751e-03 -6.625849e-03
17 0 1.046517e+00 -6.619581e-03 -6.625708e-03
18 0 1.046512e+00 -6.619549e-03 -6.625535e-03
19 0 1.046508e+00 -6.619205e-03 -6.625554e-03
20 0 1.046503e+00 -6.618664e-03 -6.625260e-03
21 0 1.046498e+00 -6.618335e-03 -6.625215e-03
22 0 1.046493e+00 -6.617959e-03 -6.625036e-03
23 0 1.046488e+00 -6.617546e-03 -6.624956e-03
24 0 1.046484e+00 -6.616940e-03 -6.624649e-03
25 0 1.046479e+00 -6.616281e-03 -6.624501e-03
26 0 1.046474e+00 -6.615722e-03 -6.624386e-03
27 0 1.046471e+00 -6.615137e-03 -6.624320e-03
28 0 1.046467e+00 -6.614285e-03 -6.624251e-03
29 0 1.046463e+00 -6.613544e-03 -6.624229e-03
30 0 1.046459e+00 -6.612624e-03 -6.624234e-03
31 0 1.046454e+00 -6.611714e-03 -6.624227e-03
32 0 1.046449e+00 -6.610837e-03 -6.624125e-03
33 0 1.046445e+00 -6.609997e-03 -6.624066e-03
34 0 1.046441e+00 -6.609056e-03 -6.623915e-03
35 0 1.046437e+00 -6.607747e-03 -6.623806e-03
36 0 1.046433e+00 -6.606454e-03 -6.623887e-03
37 0 1.046428e+00 -6.604921e-03 -6.623748e-03
