x y rho u v
0 0 1.040215e+00 -5.610514e-03 -5.684335e-03
1 0 1.040210e+00 -5.611765e-03 -5.688320e-03
2 0 1.040204e+00 -5.612341e-03 -5.689432e-03
3 0 1.040198e+00 -5.613228e-03 -5.690183e-03
4 0 1.040191e+00 -5.613691e-03 -5.690284e-03
5 0 1.040184e+00 -5.614968e-03 -5.690256e-03
6 0 1.040175e+00 -5.615767e-03 -5.690496e-03
7 0 1.040166e+00 -5.617680e-03 -5.690585e-03
8 0 1.040157e+00 -5.618820e-03 -5.690667e-03
9 0 1.040147e+00 -5.621104e-03 -5.690676e-03
10 0 1.040138e+00 -5.622535e-03 -5.690773e-03
11 0 1.040127e+00 -5.624900e-03 -5.690803e-03
12 0 1.040117e+00 -5.626201e-03 -5.690629e-03
13 0 1.040105e+00 -5.628476e-03 -5.690548e-03
14 0 1.040095e+00 -5.629918e-03 -5.690312e-03
15 0 1.040085e+00 -5.631705e-03 -5.690311e-03
16 0 1.040075e+00 -5.632969e-03 -5.690163e-03
17 0 1.040065e+00 -5.634189e-03 -5.689967e-03
18 0 1.040056e+00 -5.635162e-03 -5.690145e-03
19 0 1.040047e+00 -5.636179e-03 -5.689864e-03
20 0 1.040037e+00 -5.636664e-03 -5.689887e-03
21 0 1.040028e+00 -5.637678e-03 -5.689567e-03
22 0 1.040020e+00 -5.638246e-03 -5.689485e-03
23 0 1.040011e+00 -5.638926e-03 -5.689300e-03
24 0 1.040004e+00 -5.639235e-03 -5.689144e-03
25 0 1.039996e+00 -5.639849e-03 -5.689060e-03
26 0 1.039988e+00 -5.639771e-03 -5.688979e-03
27 0 1.039981e+00 -5.640182e-03 -5.688792e-03
28 0 1.039974e+00 -5.639712e-03 -5.688572e-03
29 0 1.039967e+00 -5.639871e-03 -5.688584e-03
30 0 1.039961e+00 -5.639209e-03 -5.688652e-03
31 0 1.039955e+00 -5.639746e-03 -5.688711e-03
32 0 1.039950e+00 -5.639132e-03 -5.688748e-03
33 0 1.039944e+00 -5.639047e-03 -5.688799e-03
34 0 1.039939e+00 -5.638581e-03 -5.688716e-03
35 0 1.039933e+00 -5.638490e-03 -5.688746e-03
36 0 1.039928e+00 -5.637860e-03 -5.688447e-03
37 0 1.039922e+00 -5.637794e-03 -5.688463e-03
38 0 1.039917e+00 -5.636952e-03 -5.688152e-03
39 0 1.039911e+00 -5.636767e-03 -5.688063e-03
40 0 1.039906e+00 -5.635827e-03 -5.687932e-03
41 0 1.039901e+00 -5.635803e-03 -5.688024e-03
42 0 1.039897e+00 -5.634881e-03 -5.687848e-03
43 0 1.039894e+00 -5.634819e-03 -5.687842e-03
44 0 1.039890e+00 -5.634069e-03 -5.687619e-03
45 0 1.039886e+00 -5.633852e-03 -5.687487e-03
46 0 1.039883e+00 -5.633626e-03 -5.687506e-03
47 0 1.039880e+00 -5.633867e-03 -5.687380e-03
48 0 1.039877e+00 -5.633850e-03 -5.687481e-03
49 0 1.039876e+00 -5.634204e-03 -5.687501e-03
50 0 1.039873e+00 -5.634167e-03 -5.687464e-03
51 0 1.039872e+00 -5.634714e-03 -5.687238e-03
52 0 1.039870e+00 -5.634664e-03 -5.687308e-03
53 0 1.039868e+00 -5.635710e-03 -5.687431e-03
54 0 1.039867e+00 -5.636141e-03 -5.687661e-03
55 0 1.039866e+00 -5.637664e-03 -5.687888e-03
56 0 1.039866e+00 -5.638442e-03 -5.687935e-03
57 0 1.039866e+00 -5.640150e-03 -5.687811e-03
58 0 1.039867e+00 -5.641211e-03 -5.687838e-03
59 0 1.039867e+00 -5.642766e-03 -5.687837e-03
60 0 1.039869e+00 -5.644598e-03 -5.687840e-03
61 0 1.039871e+00 -5.646754e-03 -5.687837e-03
62 0 1.039874e+00 -5.648318e-03 -5.687808e-03
63 0 1.039876e+00 -5.650626e-03 -5.687763e-03
64 0 1.039878e+00 -5.652213e-03 -5.687883e-03
65 0 1.039881e+00 -5.654467e-03 -5.687880e-03
66 0 1.039885e+00 -5.655891e-03 -5.687733e-03
67 0 1.039889e+00 -5.657897e-03 -5.687815e-03
68 0 1.039892e+00 -5.659521e-03 -5.687729e-03
69 0 1.039896e+00 -5.661750e-03 -5.687797e-03
70 0 1.039900e+00 -5.663268e-03 -5.687727e-03
71 0 1.039905e+00 -5.665662e-03 -5.687687e-03
72 0 1.039909e+00 -5.667067e-03 -5.687712e-03
73 0 1.039915e+00 -5.669071e-03 -5.687600e-03
74 0 1.039921e+00 -5.670215e-03 -5.687595e-03
75 0 1.039927e+00 -5.672067e-03 -5.687852e-03
76 0 1.039934e+00 -5.673557e-03 -5.688009e-03
77 0 1.039941e+00 -5.675498e-03 -5.688135e-03
78 0 1.039949e+00 -5.677158e-03 -5.688116e-03
79 0 1.039957e+00 -5.679204e-03 -5.688204e-03
80 0 1.039965e+00 -5.680788e-03 -5.688048e-03
81 0 1.039973e+00 -5.682662e-03 -5.687939e-03
82 0 1.039982e+00 -5.684550e-03 -5.688254e-03
83 0 1.039991e+00 -5.686534e-03 -5.688277e-03
84 0 1.040000e+00 -5.688528e-03 -5.688422e-03
85 0 1.040010e+00 -5.690302e-03 -5.688394e-03
86 0 1.040019e+00 -5.692150e-03 -5.688442e-03
87 0 1.040028e+00 -5.693508e-03 -5.688180e-03
88 0 1.040036e+00 -5.694692e-03 -5.688256e-03
89 0 1.040045e+00 -5.695594e-03 -5.688303e-03
90 0 1.040053e+00 -5.696261e-03 -5.688441e-03
91 0 1.040061e+00 -5.696720e-03 -5.688361e-03
92 0 1.040067e+00 -5.696723e-03 -5.688283e-03
93 0 1.040075e+00 -5.696536e-03 -5.688056e-03
94 0 1.040082e+00 -5.696164e-03 -5.688061e-03
95 0 1.040089e+00 -5.695462e-03 -5.687982e-03
96 0 1.040095e+00 -5.694520e-03 -5.688069e-03
97 0 1.040101e+00 -5.692953e-03 -5.687951e-03
98 0 1.040107e+00 -5.691287e-03 -5.688042e-03
99 0 1.040112e+00 -5.689121e-03 -5.687799e-03
100 0 1.040118e+00 -5.687104e-03 -5.687546e-03
101 0 1.040124e+00 -5.684581e-03 -5.687590e-03
102 0 1.040130e+00 -5.682388e-03 -5.687655e-03
103 0 1.040137e+00 -5.679691e-03 -5.687591e-03
104 0 1.040143e+00 -5.676941e-03 -5.687663e-03
105 0 1.040148e+00 -5.674056e-03 -5.687532e-03
106 0 1.040154e+00 -5.670712e-03 -5.687567e-03
107 0 1.040161e+00 -5.667188e-03 -5.687504e-03
108 0 1.040168e+00 -5.663622e-03 -5.687444e-03
109 0 1.040173e+00 -5.659696e-03 -5.687475e-03
110 0 1.040180e+00 -5.656058e-03 -5.687342e-03
111 0 1.040186e+00 -5.651744e-03 -5.687484e-03
112 0 1.040192e+00 -5.648253e-03 -5.687329e-03
113 0 1.040198e+00 -5.643720e-03 -5.687407e-03
114 0 1.040203e+00 -5.640078e-03 -5.687486e-03
115 0 1.040208e+00 -5.636114e-03 -5.687536e-03
116 0 1.040213e+00 -5.633197e-03 -5.687768e-03
117 0 1.040217e+00 -5.629775e-03 -5.687886e-03
118 0 1.040221e+00 -5.627435e-03 -5.687915e-03
119 0 1.040224e+00 -5.624399e-03 -5.688122e-03
120 0 1.040227e+00 -5.622302e-03 -5.688254e-03
121 0 1.040229e+00 -5.619465e-03 -5.688586e-03
122 0 1.040230e+00 -5.617286e-03 -5.688729e-03
123 0 1.040229e+00 -5.615018e-03 -5.689045e-03
124 0 1.040229e+00 -5.613760e-03 -5.689221e-03
125 0 1.040228e+00 -5.611945e-03 -5.689307e-03
126 0 1.040225e+00 -5.610306e-03 -5.687747e-03
127 0 1.040222e+00 -5.609110e-03 -5.684849e-03
0 1 1.040214e+00 -5.605546e-03 -5.687029e-03
1 1 1.040209e+00 -5.605445e-03 -5.691783e-03
2 1 1.040203e+00 -5.605033e-03 -5.693266e-03
3 1 1.040198e+00 -5.605042e-03 -5.694329e-03
4 1 1.040191e+00 -5.605454e-03 -5.694244e-03
5 1 1.040183e+00 -5.606492e-03 -5.694626e-03
6 1 1.040175e+00 -5.607241e-03 -5.694393e-03
7 1 1.040166e+00 -5.608989e-03 -5.694591e-03
8 1 1.040157e+00 -5.610289e-03 -5.694686e-03
9 1 1.040147e+00 -5.612448e-03 -5.694678e-03
10 1 1.040137e+00 -5.614076e-03 -5.694686e-03
11 1 1.040127e+00 -5.616540e-03 -5.694678e-03
12 1 1.040116e+00 -5.618103e-03 -5.694554e-03
13 1 1.040105e+00 -5.620382e-03 -5.694359e-03
14 1 1.040094e+00 -5.621946e-03 -5.694333e-03
15 1 1.040084e+00 -5.623964e-03 -5.694042e-03
16 1 1.040074e+00 -5.625325e-03 -5.693948e-03
17 1 1.040065e+00 -5.626917e-03 -5.693907e-03
18 1 1.040056e+00 -5.628071e-03 -5.693838e-03
19 1 1.040047e+00 -5.629001e-03 -5.693737e-03
20 1 1.040037e+00 -5.629503e-03 -5.693513e-03
21 1 1.040028e+00 -5.630756e-03 -5.693459e-03
22 1 1.040020e+00 -5.631363e-03 -5.693200e-03
23 1 1.040011e+00 -5.632246e-03 -5.693098e-03
24 1 1.040003e+00 -5.632723e-03 -5.692836e-03
25 1 1.039995e+00 -5.633700e-03 -5.692635e-03
26 1 1.039988e+00 -5.633587e-03 -5.692624e-03
27 1 1.039981e+00 -5.634171e-03 -5.692600e-03
28 1 1.039973e+00 -5.633747e-03 -5.692550e-03
29 1 1.039967e+00 -5.634156e-03 -5.692681e-03
30 1 1.039961e+00 -5.633593e-03 -5.692925e-03
31 1 1.039955e+00 -5.634328e-03 -5.692907e-03
32 1 1.039949e+00 -5.633496e-03 -5.693109e-03
33 1 1.039943e+00 -5.633692e-03 -5.693171e-03
34 1 1.039938e+00 -5.633139e-03 -5.693073e-03
35 1 1.039932e+00 -5.633247e-03 -5.692997e-03
36 1 1.039927e+00 -5.632363e-03 -5.692909e-03
37 1 1.039922e+00 -5.632381e-03 -5.692867e-03
38 1 1.039917e+00 -5.631531e-03 -5.692609e-03
39 1 1.039911e+00 -5.631723e-03 -5.692354e-03
40 1 1.039906e+00 -5.630753e-03 -5.692278e-03
