x y rho u v
0 0 1.022395e+00 -3.101037e-03 -3.205832e-03
1 0 1.022380e+00 -3.106434e-03 -3.210983e-03
2 0 1.022364e+00 -3.107122e-03 -3.213274e-03
3 0 1.022350e+00 -3.110624e-03 -3.214656e-03
4 0 1.022336e+00 -3.109245e-03 -3.214725e-03
5 0 1.022323e+00 -3.111654e-03 -3.214872e-03
6 0 1.022310e+00 -3.109998e-03 -3.215080e-03
7 0 1.022299e+00 -3.112371e-03 -3.215391e-03
8 0 1.022288e+00 -3.110600e-03 -3.215370e-03
9 0 1.022278e+00 -3.112794e-03 -3.215600e-03
10 0 1.022269e+00 -3.110931e-03 -3.215605e-03
11 0 1.022261e+00 -3.113412e-03 -3.215875e-03
12 0 1.022254e+00 -3.111564e-03 -3.215950e-03
13 0 1.022248e+00 -3.114636e-03 -3.216058e-03
14 0 1.022244e+00 -3.113596e-03 -3.216119e-03
15 0 1.022241e+00 -3.117214e-03 -3.216277e-03
16 0 1.022239e+00 -3.116542e-03 -3.216290e-03
17 0 1.022238e+00 -3.120309e-03 -3.216651e-03
18 0 1.022237e+00 -3.119791e-03 -3.216845e-03
19 0 1.022237e+00 -3.123771e-03 -3.217075e-03
20 0 1.022237e+00 -3.123573e-03 -3.217287e-03
21 0 1.022239e+00 -3.128202e-03 -3.217509e-03
22 0 1.022241e+00 -3.128526e-03 -3.217794e-03
23 0 1.022244e+00 -3.133612e-03 -3.218244e-03
24 0 1.022247e+00 -3.134071e-03 -3.218527e-03
25 0 1.022251e+00 -3.139537e-03 -3.218760e-03
26 0 1.022254e+00 -3.140139e-03 -3.218906e-03
27 0 1.022257e+00 -3.144895e-03 -3.218617e-03
28 0 1.022259e+00 -3.144839e-03 -3.218601e-03
29 0 1.022261e+00 -3.149275e-03 -3.218719e-03
30 0 1.022263e+00 -3.149468e-03 -3.218933e-03
31 0 1.022265e+00 -3.153163e-03 -3.219019e-03
32 0 1.022266e+00 -3.152801e-03 -3.218841e-03
33 0 1.022266e+00 -3.155891e-03 -3.218648e-03
34 0 1.022267e+00 -3.155207e-03 -3.218632e-03
35 0 1.022267e+00 -3.158232e-03 -3.218544e-03
36 0 1.022268e+00 -3.157478e-03 -3.218419e-03
37 0 1.022269e+00 -3.160592e-03 -3.218285e-03
38 0 1.022270e+00 -3.160202e-03 -3.218269e-03
39 0 1.022271e+00 -3.163178e-03 -3.218576e-03
40 0 1.022272e+00 -3.162905e-03 -3.218631e-03
41 0 1.022274e+00 -3.165917e-03 -3.218613e-03
42 0 1.022275e+00 -3.165410e-03 -3.218478e-03
43 0 1.022275e+00 -3.167955e-03 -3.218516e-03
44 0 1.022275e+00 -3.166924e-03 -3.218397e-03
45 0 1.022276e+00 -3.169208e-03 -3.218409e-03
46 0 1.022276e+00 -3.168428e-03 -3.218471e-03
47 0 1.022277e+00 -3.170987e-03 -3.218439e-03
48 0 1.022278e+00 -3.170746e-03 -3.218536e-03
49 0 1.022279e+00 -3.172944e-03 -3.218672e-03
50 0 1.022280e+00 -3.172545e-03 -3.218967e-03
51 0 1.022280e+00 -3.174330e-03 -3.219220e-03
52 0 1.022280e+00 -3.173808e-03 -3.219150e-03
53 0 1.022281e+00 -3.175328e-03 -3.219314e-03
54 0 1.022281e+00 -3.174827e-03 -3.219276e-03
55 0 1.022281e+00 -3.176271e-03 -3.219242e-03
56 0 1.022282e+00 -3.176322e-03 -3.219174e-03
57 0 1.022282e+00 -3.177402e-03 -3.219407e-03
58 0 1.022283e+00 -3.177454e-03 -3.219458e-03
59 0 1.022284e+00 -3.178654e-03 -3.219425e-03
60 0 1.022285e+00 -3.178542e-03 -3.219584e-03
61 0 1.022285e+00 -3.179577e-03 -3.219556e-03
62 0 1.022287e+00 -3.179383e-03 -3.219769e-03
63 0 1.022288e+00 -3.180041e-03 -3.219785e-03
64 0 1.022289e+00 -3.180180e-03 -3.219790e-03
65 0 1.022290e+00 -3.180330e-03 -3.219500e-03
66 0 1.022292e+00 -3.180572e-03 -3.219376e-03
67 0 1.022293e+00 -3.180706e-03 -3.219197e-03
68 0 1.022294e+00 -3.180939e-03 -3.219236e-03
69 0 1.022295e+00 -3.180839e-03 -3.219231e-03
70 0 1.022297e+00 -3.181485e-03 -3.219430e-03
71 0 1.022299e+00 -3.180915e-03 -3.219513e-03
72 0 1.022300e+00 -3.181571e-03 -3.219569e-03
73 0 1.022303e+00 -3.180650e-03 -3.219719e-03
74 0 1.022305e+00 -3.181537e-03 -3.219635e-03
75 0 1.022307e+00 -3.180534e-03 -3.219701e-03
76 0 1.022309e+00 -3.181483e-03 -3.219745e-03
77 0 1.022312e+00 -3.180529e-03 -3.219799e-03
78 0 1.022316e+00 -3.181248e-03 -3.219650e-03
79 0 1.022319e+00 -3.180020e-03 -3.219509e-03
80 0 1.022322e+00 -3.180789e-03 -3.219378e-03
81 0 1.022326e+00 -3.179331e-03 -3.219356e-03
82 0 1.022331e+00 -3.180089e-03 -3.219274e-03
83 0 1.022335e+00 -3.178225e-03 -3.219360e-03
84 0 1.022340e+00 -3.178451e-03 -3.219120e-03
85 0 1.022344e+00 -3.176043e-03 -3.219083e-03
86 0 1.022349e+00 -3.175951e-03 -3.218739e-03
87 0 1.022354e+00 -3.172855e-03 -3.218769e-03
88 0 1.022359e+00 -3.172703e-03 -3.218812e-03
89 0 1.022365e+00 -3.169131e-03 -3.218782e-03
90 0 1.022370e+00 -3.168897e-03 -3.218600e-03
91 0 1.022377e+00 -3.165129e-03 -3.218536e-03
92 0 1.022384e+00 -3.163928e-03 -3.218622e-03
93 0 1.022392e+00 -3.159493e-03 -3.218720e-03
94 0 1.022400e+00 -3.157953e-03 -3.218294e-03
95 0 1.022410e+00 -3.152753e-03 -3.218043e-03
96 0 1.022421e+00 -3.150555e-03 -3.217510e-03
97 0 1.022433e+00 -3.144247e-03 -3.216976e-03
98 0 1.022447e+00 -3.141579e-03 -3.216376e-03
99 0 1.022461e+00 -3.134490e-03 -3.216061e-03
100 0 1.022476e+00 -3.130724e-03 -3.215630e-03
101 0 1.022493e+00 -3.122237e-03 -3.215251e-03
102 0 1.022509e+00 -3.117709e-03 -3.214699e-03
103 0 1.022525e+00 -3.108405e-03 -3.214155e-03
104 0 1.022542e+00 -3.103680e-03 -3.213620e-03
105 0 1.022557e+00 -3.093776e-03 -3.213444e-03
106 0 1.022570e+00 -3.089945e-03 -3.213183e-03
107 0 1.022583e+00 -3.080772e-03 -3.213075e-03
108 0 1.022594e+00 -3.078069e-03 -3.213098e-03
109 0 1.022602e+00 -3.070536e-03 -3.213133e-03
110 0 1.022608e+00 -3.069706e-03 -3.213554e-03
111 0 1.022612e+00 -3.064270e-03 -3.213719e-03
112 0 1.022611e+00 -3.064975e-03 -3.213952e-03
113 0 1.022609e+00 -3.061066e-03 -3.214177e-03
114 0 1.022603e+00 -3.063833e-03 -3.214486e-03
115 0 1.022596e+00 -3.062216e-03 -3.214658e-03
116 0 1.022586e+00 -3.066488e-03 -3.214860e-03
117 0 1.022575e+00 -3.066243e-03 -3.214878e-03
118 0 1.022564e+00 -3.071616e-03 -3.214886e-03
119 0 1.022550e+00 -3.072927e-03 -3.214863e-03
120 0 1.022537e+00 -3.078923e-03 -3.214734e-03
121 0 1.022522e+00 -3.080505e-03 -3.214779e-03
122 0 1.022507e+00 -3.086422e-03 -3.214662e-03
123 0 1.022491e+00 -3.087694e-03 -3.214550e-03
124 0 1.022474e+00 -3.092849e-03 -3.214559e-03
125 0 1.022457e+00 -3.093442e-03 -3.213981e-03
126 0 1.022441e+00 -3.097264e-03 -3.210414e-03
127 0 1.022424e+00 -3.097122e-03 -3.206891e-03
0 1 1.022395e+00 -3.094494e-03 -3.205823e-03
1 1 1.022380e+00 -3.098782e-03 -3.211426e-03
2 1 1.022364e+00 -3.098231e-03 -3.214233e-03
3 1 1.022350e+00 -3.101447e-03 -3.216141e-03
4 1 1.022337e+00 -3.099816e-03 -3.215872e-03
5 1 1.022324e+00 -3.102720e-03 -3.215990e-03
6 1 1.022311e+00 -3.100909e-03 -3.216340e-03
7 1 1.022300e+00 -3.103707e-03 -3.216597e-03
8 1 1.022289e+00 -3.101970e-03 -3.216691e-03
9 1 1.022279e+00 -3.104652e-03 -3.216892e-03
10 1 1.022270e+00 -3.102732e-03 -3.217083e-03
11 1 1.022262e+00 -3.105474e-03 -3.217374e-03
12 1 1.022255e+00 -3.103803e-03 -3.217560e-03
13 1 1.022249e+00 -3.107166e-03 -3.217757e-03
14 1 1.022245e+00 -3.106526e-03 -3.217937e-03
15 1 1.022242e+00 -3.110528e-03 -3.218167e-03
16 1 1.022240e+00 -3.110237e-03 -3.218378e-03
17 1 1.022238e+00 -3.114640e-03 -3.218663e-03
18 1 1.022237e+00 -3.114259e-03 -3.218705e-03
19 1 1.022237e+00 -3.118930e-03 -3.218950e-03
20 1 1.022238e+00 -3.119496e-03 -3.219066e-03
21 1 1.022239e+00 -3.124631e-03 -3.219210e-03
22 1 1.022242e+00 -3.125718e-03 -3.219288e-03
23 1 1.022244e+00 -3.131236e-03 -3.219426e-03
24 1 1.022247e+00 -3.132274e-03 -3.219588e-03
25 1 1.022250e+00 -3.138404e-03 -3.219717e-03
26 1 1.022254e+00 -3.139416e-03 -3.219705e-03
27 1 1.022257e+00 -3.144850e-03 -3.219622e-03
28 1 1.022259e+00 -3.145158e-03 -3.219698e-03
29 1 1.022261e+00 -3.150058e-03 -3.220093e-03
30 1 1.022264e+00 -3.150249e-03 -3.220327e-03
31 1 1.022265e+00 -3.154565e-03 -3.220348e-03
32 1 1.022266e+00 -3.154209e-03 -3.220349e-03
33 1 1.022266e+00 -3.157675e-03 -3.220249e-03
34 1 1.022267e+00 -3.157148e-03 -3.220149e-03
35 1 1.022267e+00 -3.160503e-03 -3.220120e-03
36 1 1.022267e+00 -3.159871e-03 -3.220167e-03
37 1 1.022268e+00 -3.163067e-03 -3.220269e-03
