x y rho u v
0 0 1.053580e+00 -7.654452e-03 -7.613442e-03
1 0 1.053583e+00 -7.655437e-03 -7.613514e-03
2 0 1.053585e+00 -7.656726e-03 -7.613362e-03
3 0 1.053587e+00 -7.657871e-03 -7.613093e-03
4 0 1.053589e+00 -7.659093e-03 -7.613328e-03
5 0 1.053591e+00 -7.660417e-03 -7.613126e-03
6 0 1.053593e+00 -7.661822e-03 -7.612797e-03
7 0 1.053596e+00 -7.663196e-03 -7.612574e-03
8 0 1.053598e+00 -7.664785e-03 -7.612593e-03
9 0 1.053601e+00 -7.665859e-03 -7.612551e-03
10 0 1.053604e+00 -7.666751e-03 -7.612436e-03
11 0 1.053608e+00 -7.667768e-03 -7.612227e-03
12 0 1.053611e+00 -7.668597e-03 -7.611978e-03
13 0 1.053615e+00 -7.669459e-03 -7.611844e-03
14 0 1.053620e+00 -7.670110e-03 -7.611676e-03
15 0 1.053624e+00 -7.670524e-03 -7.611764e-03
16 0 1.053628e+00 -7.671023e-03 -7.611691e-03
17 0 1.053633e+00 -7.671097e-03 -7.611550e-03
18 0 1.053638e+00 -7.670788e-03 -7.611573e-03
19 0 1.053643e+00 -7.670436e-03 -7.611265e-03
20 0 1.053647e+00 -7.670048e-03 -7.611166e-03
21 0 1.053653e+00 -7.669160e-03 -7.611001e-03
22 0 1.053657e+00 -7.668485e-03 -7.611101e-03
23 0 1.053662e+00 -7.667433e-03 -7.610924e-03
24 0 1.053667e+00 -7.666510e-03 -7.610783e-03
25 0 1.053672e+00 -7.665272e-03 -7.610564e-03
26 0 1.053676e+00 -7.664233e-03 -7.610328e-03
27 0 1.053681e+00 -7.662416e-03 -7.610368e-03
28 0 1.053686e+00 -7.661144e-03 -7.610102e-03
29 0 1.053691e+00 -7.659325e-03 -7.610350e-03
30 0 1.053697e+00 -7.657884e-03 -7.610152e-03
31 0 1.053702e+00 -7.655636e-03 -7.610021e-03
32 0 1.053707e+00 -7.653892e-03 -7.610325e-03
33 0 1.053712e+00 -7.651978e-03 -7.610572e-03
34 0 1.053717e+00 -7.650604e-03 -7.610619e-03
35 0 1.053721e+00 -7.648810e-03 -7.610486e-03
36 0 1.053725e+00 -7.647565e-03 -7.610623e-03
37 0 1.053729e+00 -7.645762e-03 -7.610479e-03
38 0 1.053732e+00 -7.644090e-03 -7.610269e-03
39 0 1.053736e+00 -7.642213e-03 -7.610145e-03
40 0 1.053738e+00 -7.640517e-03 -7.609995e-03
41 0 1.053740e+00 -7.638718e-03 -7.609998e-03
42 0 1.053742e+00 -7.637004e-03 -7.610267e-03
43 0 1.053744e+00 -7.635175e-03 -7.610531e-03
44 0 1.053746e+00 -7.633572e-03 -7.610784e-03
45 0 1.053748e+00 -7.632012e-03 -7.611085e-03
46 0 1.053749e+00 -7.630216e-03 -7.611020e-03
47 0 1.053751e+00 -7.628928e-03 -7.611135e-03
48 0 1.053752e+00 -7.627162e-03 -7.611177e-03
49 0 1.053753e+00 -7.625766e-03 -7.611082e-03
50 0 1.053754e+00 -7.623904e-03 -7.611041e-03
51 0 1.053755e+00 -7.622382e-03 -7.610884e-03
52 0 1.053757e+00 -7.620504e-03 -7.610913e-03
53 0 1.053758e+00 -7.619127e-03 -7.610912e-03
54 0 1.053760e+00 -7.617580e-03 -7.610945e-03
55 0 1.053761e+00 -7.616357e-03 -7.610614e-03
56 0 1.053762e+00 -7.614947e-03 -7.610636e-03
57 0 1.053762e+00 -7.613776e-03 -7.610571e-03
58 0 1.053762e+00 -7.612406e-03 -7.610559e-03
59 0 1.053761e+00 -7.611159e-03 -7.610770e-03
60 0 1.053761e+00 -7.610210e-03 -7.610714e-03
61 0 1.053760e+00 -7.609209e-03 -7.610687e-03
62 0 1.053760e+00 -7.608466e-03 -7.610982e-03
63 0 1.053759e+00 -7.607710e-03 -7.611121e-03
64 0 1.053758e+00 -7.607613e-03 -7.611198e-03
65 0 1.053756e+00 -7.606974e-03 -7.611285e-03
66 0 1.053754e+00 -7.606644e-03 -7.611102e-03
67 0 1.053751e+00 -7.606346e-03 -7.610958e-03
68 0 1.053748e+00 -7.606262e-03 -7.610905e-03
69 0 1.053746e+00 -7.606328e-03 -7.610898e-03
70 0 1.053743e+00 -7.606650e-03 -7.610800e-03
71 0 1.053740e+00 -7.606951e-03 -7.610822e-03
72 0 1.053738e+00 -7.607625e-03 -7.610628e-03
73 0 1.053735e+00 -7.607702e-03 -7.610299e-03
74 0 1.053731e+00 -7.608089e-03 -7.610026e-03
75 0 1.053727e+00 -7.607858e-03 -7.609785e-03
76 0 1.053723e+00 -7.608696e-03 -7.609791e-03
77 0 1.053721e+00 -7.608510e-03 -7.610020e-03
78 0 1.053718e+00 -7.609316e-03 -7.610005e-03
79 0 1.053715e+00 -7.608857e-03 -7.609997e-03
80 0 1.053712e+00 -7.609594e-03 -7.609988e-03
81 0 1.053707e+00 -7.609211e-03 -7.610215e-03
82 0 1.053703e+00 -7.610241e-03 -7.610450e-03
83 0 1.053699e+00 -7.609854e-03 -7.610552e-03
84 0 1.053694e+00 -7.610677e-03 -7.610526e-03
85 0 1.053689e+00 -7.610211e-03 -7.610357e-03
86 0 1.053685e+00 -7.610817e-03 -7.610405e-03
87 0 1.053681e+00 -7.610144e-03 -7.610503e-03
88 0 1.053676e+00 -7.610959e-03 -7.610385e-03
89 0 1.053672e+00 -7.610322e-03 -7.610626e-03
90 0 1.053667e+00 -7.611199e-03 -7.610467e-03
91 0 1.053661e+00 -7.610661e-03 -7.610489e-03
92 0 1.053656e+00 -7.611604e-03 -7.610521e-03
93 0 1.053651e+00 -7.611657e-03 -7.610748e-03
94 0 1.053645e+00 -7.612694e-03 -7.610541e-03
95 0 1.053639e+00 -7.612998e-03 -7.610461e-03
96 0 1.053633e+00 -7.614248e-03 -7.610475e-03
97 0 1.053627e+00 -7.614669e-03 -7.610737e-03
98 0 1.053620e+00 -7.615687e-03 -7.610868e-03
99 0 1.053613e+00 -7.616004e-03 -7.611142e-03
100 0 1.053606e+00 -7.617287e-03 -7.611331e-03
101 0 1.053601e+00 -7.617893e-03 -7.611257e-03
102 0 1.053595e+00 -7.618957e-03 -7.611291e-03
103 0 1.053590e+00 -7.619987e-03 -7.611402e-03
104 0 1.053586e+00 -7.620956e-03 -7.611497e-03
105 0 1.053582e+00 -7.622385e-03 -7.611516e-03
106 0 1.053578e+00 -7.623298e-03 -7.611312e-03
107 0 1.053575e+00 -7.624697e-03 -7.611510e-03
108 0 1.053572e+00 -7.625464e-03 -7.611455e-03
109 0 1.053570e+00 -7.626791e-03 -7.611502e-03
110 0 1.053569e+00 -7.627857e-03 -7.611654e-03
111 0 1.053568e+00 -7.629381e-03 -7.611910e-03
112 0 1.053567e+00 -7.630612e-03 -7.611904e-03
