x y rho u v
0 0 1.037094e+00 -5.183632e-03 -5.254130e-03
1 0 1.037087e+00 -5.187336e-03 -5.257341e-03
2 0 1.037079e+00 -5.190851e-03 -5.258413e-03
3 0 1.037071e+00 -5.194277e-03 -5.259670e-03
4 0 1.037062e+00 -5.197678e-03 -5.259833e-03
5 0 1.037053e+00 -5.201350e-03 -5.259644e-03
6 0 1.037044e+00 -5.204847e-03 -5.259657e-03
7 0 1.037036e+00 -5.208754e-03 -5.259592e-03
8 0 1.037027e+00 -5.212521e-03 -5.259489e-03
9 0 1.037019e+00 -5.216735e-03 -5.259613e-03
10 0 1.037011e+00 -5.220453e-03 -5.259573e-03
11 0 1.037002e+00 -5.224787e-03 -5.259593e-03
12 0 1.036993e+00 -5.228465e-03 -5.259480e-03
13 0 1.036984e+00 -5.232882e-03 -5.259309e-03
14 0 1.036975e+00 -5.236709e-03 -5.259138e-03
15 0 1.036966e+00 -5.241002e-03 -5.259220e-03
16 0 1.036957e+00 -5.244437e-03 -5.259159e-03
17 0 1.036946e+00 -5.248458e-03 -5.259153e-03
18 0 1.036936e+00 -5.251415e-03 -5.258933e-03
19 0 1.036925e+00 -5.254586e-03 -5.259005e-03
20 0 1.036914e+00 -5.256713e-03 -5.259005e-03
21 0 1.036904e+00 -5.259402e-03 -5.258924e-03
22 0 1.036894e+00 -5.261121e-03 -5.259064e-03
23 0 1.036885e+00 -5.263245e-03 -5.259088e-03
24 0 1.036877e+00 -5.265289e-03 -5.259055e-03
25 0 1.036870e+00 -5.267177e-03 -5.258896e-03
26 0 1.036863e+00 -5.268621e-03 -5.258969e-03
27 0 1.036856e+00 -5.270354e-03 -5.258767e-03
28 0 1.036850e+00 -5.271554e-03 -5.258640e-03
29 0 1.036844e+00 -5.273169e-03 -5.258481e-03
30 0 1.036838e+00 -5.273997e-03 -5.258585e-03
31 0 1.036833e+00 -5.275372e-03 -5.258447e-03
32 0 1.036827e+00 -5.276028e-03 -5.258099e-03
33 0 1.036821e+00 -5.276709e-03 -5.258042e-03
34 0 1.036814e+00 -5.276985e-03 -5.258060e-03
35 0 1.036808e+00 -5.277203e-03 -5.258011e-03
36 0 1.036803e+00 -5.276965e-03 -5.258096e-03
37 0 1.036797e+00 -5.276968e-03 -5.257851e-03
38 0 1.036792e+00 -5.276782e-03 -5.257782e-03
39 0 1.036787e+00 -5.276471e-03 -5.257699e-03
40 0 1.036781e+00 -5.275734e-03 -5.257671e-03
41 0 1.036775e+00 -5.274834e-03 -5.257687e-03
42 0 1.036771e+00 -5.274250e-03 -5.257588e-03
43 0 1.036765e+00 -5.273176e-03 -5.257661e-03
44 0 1.036760e+00 -5.272098e-03 -5.257634e-03
45 0 1.036755e+00 -5.271183e-03 -5.257768e-03
46 0 1.036751e+00 -5.269960e-03 -5.257651e-03
47 0 1.036746e+00 -5.268937e-03 -5.257383e-03
48 0 1.036742e+00 -5.267553e-03 -5.257133e-03
49 0 1.036738e+00 -5.266603e-03 -5.257112e-03
50 0 1.036735e+00 -5.265204e-03 -5.256873e-03
51 0 1.036731e+00 -5.264097e-03 -5.256720e-03
52 0 1.036729e+00 -5.262361e-03 -5.256587e-03
53 0 1.036726e+00 -5.261051e-03 -5.256454e-03
54 0 1.036723e+00 -5.259611e-03 -5.256480e-03
55 0 1.036720e+00 -5.258467e-03 -5.256546e-03
56 0 1.036718e+00 -5.256782e-03 -5.256522e-03
57 0 1.036716e+00 -5.255346e-03 -5.256487e-03
58 0 1.036714e+00 -5.253517e-03 -5.256539e-03
59 0 1.036713e+00 -5.252303e-03 -5.256620e-03
60 0 1.036711e+00 -5.250349e-03 -5.256594e-03
61 0 1.036711e+00 -5.249670e-03 -5.256533e-03
62 0 1.036710e+00 -5.247823e-03 -5.256643e-03
63 0 1.036710e+00 -5.246554e-03 -5.256743e-03
64 0 1.036710e+00 -5.244389e-03 -5.256743e-03
65 0 1.036711e+00 -5.243151e-03 -5.256825e-03
66 0 1.036712e+00 -5.241716e-03 -5.257022e-03
67 0 1.036714e+00 -5.240879e-03 -5.256983e-03
68 0 1.036717e+00 -5.239642e-03 -5.257057e-03
69 0 1.036720e+00 -5.238930e-03 -5.257058e-03
70 0 1.036723e+00 -5.237224e-03 -5.256874e-03
71 0 1.036727e+00 -5.236214e-03 -5.256743e-03
72 0 1.036731e+00 -5.234329e-03 -5.256670e-03
73 0 1.036736e+00 -5.233206e-03 -5.256622e-03
74 0 1.036741e+00 -5.231756e-03 -5.256593e-03
75 0 1.036746e+00 -5.230387e-03 -5.256436e-03
76 0 1.036753e+00 -5.228864e-03 -5.256403e-03
77 0 1.036760e+00 -5.226942e-03 -5.256476e-03
78 0 1.036769e+00 -5.225691e-03 -5.256547e-03
