x y rho u v
0 0 1.039430e+00 -5.591403e-03 -5.634397e-03
1 0 1.039428e+00 -5.593398e-03 -5.638212e-03
2 0 1.039426e+00 -5.595316e-03 -5.639569e-03
3 0 1.039425e+00 -5.597339e-03 -5.639793e-03
4 0 1.039425e+00 -5.599122e-03 -5.639946e-03
5 0 1.039426e+00 -5.601092e-03 -5.639885e-03
6 0 1.039427e+00 -5.603008e-03 -5.639948e-03
7 0 1.039428e+00 -5.605098e-03 -5.640162e-03
8 0 1.039430e+00 -5.606811e-03 -5.640285e-03
9 0 1.039433e+00 -5.609077e-03 -5.640392e-03
10 0 1.039435e+00 -5.611014e-03 -5.640241e-03
11 0 1.039437e+00 -5.613093e-03 -5.640102e-03
12 0 1.039439e+00 -5.615004e-03 -5.639968e-03
13 0 1.039442e+00 -5.617191e-03 -5.639992e-03
14 0 1.039445e+00 -5.618927e-03 -5.639901e-03
15 0 1.039448e+00 -5.621483e-03 -5.639897e-03
16 0 1.039452e+00 -5.623549e-03 -5.639875e-03
17 0 1.039456e+00 -5.626035e-03 -5.639942e-03
18 0 1.039459e+00 -5.628023e-03 -5.639943e-03
19 0 1.039463e+00 -5.630680e-03 -5.640077e-03
20 0 1.039467e+00 -5.632644e-03 -5.640189e-03
21 0 1.039470e+00 -5.635096e-03 -5.640119e-03
22 0 1.039475e+00 -5.636591e-03 -5.640095e-03
23 0 1.039479e+00 -5.638700e-03 -5.639881e-03
24 0 1.039483e+00 -5.639790e-03 -5.640107e-03
25 0 1.039488e+00 -5.642323e-03 -5.640103e-03
26 0 1.039492e+00 -5.643195e-03 -5.639730e-03
27 0 1.039496e+00 -5.645548e-03 -5.639651e-03
28 0 1.039501e+00 -5.646352e-03 -5.639708e-03
29 0 1.039505e+00 -5.648376e-03 -5.639576e-03
30 0 1.039510e+00 -5.649296e-03 -5.639765e-03
31 0 1.039514e+00 -5.651093e-03 -5.639638e-03
32 0 1.039519e+00 -5.652357e-03 -5.639798e-03
33 0 1.039523e+00 -5.653659e-03 -5.639527e-03
34 0 1.039528e+00 -5.653964e-03 -5.639594e-03
35 0 1.039533e+00 -5.655012e-03 -5.639656e-03
36 0 1.039538e+00 -5.655492e-03 -5.639491e-03
37 0 1.039543e+00 -5.656060e-03 -5.639415e-03
38 0 1.039548e+00 -5.655671e-03 -5.639310e-03
39 0 1.039553e+00 -5.655741e-03 -5.639154e-03
40 0 1.039558e+00 -5.654989e-03 -5.639039e-03
41 0 1.039562e+00 -5.654489e-03 -5.638978e-03
42 0 1.039566e+00 -5.653359e-03 -5.638610e-03
43 0 1.039570e+00 -5.652597e-03 -5.638177e-03
