x y rho u v
0 0 1.039473e+00 -5.528350e-03 -5.502948e-03
1 0 1.039477e+00 -5.529685e-03 -5.496328e-03
2 0 1.039480e+00 -5.531855e-03 -5.497235e-03
3 0 1.039484e+00 -5.534284e-03 -5.497228e-03
4 0 1.039487e+00 -5.535496e-03 -5.497574e-03
5 0 1.039489e+00 -5.537804e-03 -5.497610e-03
6 0 1.039491e+00 -5.539385e-03 -5.497480e-03
7 0 1.039493e+00 -5.541551e-03 -5.497394e-03
8 0 1.039494e+00 -5.543092e-03 -5.497519e-03
9 0 1.039494e+00 -5.545347e-03 -5.497677e-03
10 0 1.039494e+00 -5.547258e-03 -5.497759e-03
11 0 1.039494e+00 -5.549451e-03 -5.498017e-03
12 0 1.039494e+00 -5.551413e-03 -5.498132e-03
13 0 1.039493e+00 -5.553833e-03 -5.498009e-03
14 0 1.039492e+00 -5.555862e-03 -5.498128e-03
15 0 1.039492e+00 -5.558148e-03 -5.498034e-03
16 0 1.039491e+00 -5.559857e-03 -5.498188e-03
17 0 1.039490e+00 -5.562396e-03 -5.498343e-03
18 0 1.039488e+00 -5.564336e-03 -5.498542e-03
19 0 1.039486e+00 -5.566990e-03 -5.498658e-03
20 0 1.039484e+00 -5.569300e-03 -5.498832e-03
21 0 1.039480e+00 -5.572477e-03 -5.499215e-03
22 0 1.039477e+00 -5.575228e-03 -5.499416e-03
23 0 1.039472e+00 -5.578526e-03 -5.499538e-03
24 0 1.039467e+00 -5.582014e-03 -5.499677e-03
25 0 1.039461e+00 -5.585886e-03 -5.499667e-03
26 0 1.039456e+00 -5.589898e-03 -5.499769e-03
27 0 1.039450e+00 -5.593939e-03 -5.499867e-03
28 0 1.039443e+00 -5.597744e-03 -5.499675e-03
29 0 1.039438e+00 -5.601805e-03 -5.499502e-03
30 0 1.039432e+00 -5.605180e-03 -5.499287e-03
31 0 1.039425e+00 -5.608886e-03 -5.499538e-03
32 0 1.039419e+00 -5.611958e-03 -5.499375e-03
33 0 1.039414e+00 -5.615465e-03 -5.499278e-03
34 0 1.039408e+00 -5.618256e-03 -5.499175e-03
35 0 1.039402e+00 -5.621134e-03 -5.499165e-03
36 0 1.039397e+00 -5.623481e-03 -5.499212e-03
37 0 1.039392e+00 -5.625913e-03 -5.499081e-03
38 0 1.039387e+00 -5.627980e-03 -5.498972e-03
39 0 1.039381e+00 -5.630336e-03 -5.498690e-03
40 0 1.039376e+00 -5.631899e-03 -5.498579e-03
41 0 1.039370e+00 -5.633813e-03 -5.498683e-03
42 0 1.039365e+00 -5.635317e-03 -5.498736e-03
43 0 1.039361e+00 -5.636710e-03 -5.498818e-03
44 0 1.039358e+00 -5.637472e-03 -5.498680e-03
45 0 1.039355e+00 -5.638305e-03 -5.498574e-03
46 0 1.039352e+00 -5.638651e-03 -5.498661e-03
47 0 1.039349e+00 -5.638955e-03 -5.498510e-03
48 0 1.039347e+00 -5.639151e-03 -5.498134e-03
49 0 1.039345e+00 -5.639195e-03 -5.498070e-03
50 0 1.039344e+00 -5.639024e-03 -5.498005e-03
51 0 1.039343e+00 -5.638105e-03 -5.497971e-03
52 0 1.039340e+00 -5.637659e-03 -5.497970e-03
53 0 1.039338e+00 -5.636740e-03 -5.497902e-03
54 0 1.039335e+00 -5.636208e-03 -5.497821e-03
55 0 1.039332e+00 -5.635128e-03 -5.497598e-03
56 0 1.039329e+00 -5.634328e-03 -5.497796e-03
57 0 1.039325e+00 -5.632954e-03 -5.497658e-03
58 0 1.039321e+00 -5.631929e-03 -5.497498e-03
59 0 1.039317e+00 -5.630119e-03 -5.497540e-03
60 0 1.039313e+00 -5.628818e-03 -5.497730e-03
61 0 1.039309e+00 -5.626964e-03 -5.497700e-03
62 0 1.039305e+00 -5.625647e-03 -5.497665e-03
63 0 1.039301e+00 -5.623565e-03 -5.497628e-03
64 0 1.039297e+00 -5.622434e-03 -5.497347e-03
65 0 1.039292e+00 -5.619986e-03 -5.497369e-03
66 0 1.039288e+00 -5.618278e-03 -5.497425e-03
67 0 1.039284e+00 -5.615954e-03 -5.497352e-03
68 0 1.039280e+00 -5.614039e-03 -5.497199e-03
69 0 1.039276e+00 -5.611574e-03 -5.497218e-03
70 0 1.039271e+00 -5.609068e-03 -5.497164e-03
71 0 1.039267e+00 -5.606933e-03 -5.497220e-03
72 0 1.039263e+00 -5.604146e-03 -5.497273e-03
73 0 1.039259e+00 -5.602247e-03 -5.497300e-03
74 0 1.039256e+00 -5.599374e-03 -5.497103e-03
75 0 1.039252e+00 -5.596361e-03 -5.497159e-03
76 0 1.039247e+00 -5.592883e-03 -5.497113e-03
77 0 1.039242e+00 -5.589237e-03 -5.497165e-03
