x y rho u v
0 0 1.034708e+00 -4.875972e-03 -4.766372e-03
1 0 1.034718e+00 -4.873250e-03 -4.754975e-03
2 0 1.034728e+00 -4.872990e-03 -4.755078e-03
3 0 1.034737e+00 -4.872647e-03 -4.755216e-03
4 0 1.034746e+00 -4.872060e-03 -4.755893e-03
5 0 1.034753e+00 -4.871958e-03 -4.756252e-03
6 0 1.034761e+00 -4.872025e-03 -4.756345e-03
7 0 1.034768e+00 -4.872254e-03 -4.756272e-03
8 0 1.034774e+00 -4.872332e-03 -4.756411e-03
9 0 1.034780e+00 -4.872758e-03 -4.756603e-03
10 0 1.034786e+00 -4.873083e-03 -4.756713e-03
11 0 1.034790e+00 -4.873618e-03 -4.756849e-03
12 0 1.034795e+00 -4.873849e-03 -4.756809e-03
13 0 1.034799e+00 -4.874117e-03 -4.757023e-03
14 0 1.034803e+00 -4.874022e-03 -4.757056e-03
15 0 1.034806e+00 -4.874438e-03 -4.757177e-03
16 0 1.034808e+00 -4.875058e-03 -4.757265e-03
17 0 1.034810e+00 -4.875584e-03 -4.757301e-03
18 0 1.034811e+00 -4.876452e-03 -4.757391e-03
19 0 1.034812e+00 -4.877193e-03 -4.757617e-03
20 0 1.034812e+00 -4.878216e-03 -4.757853e-03
21 0 1.034812e+00 -4.878916e-03 -4.757966e-03
22 0 1.034812e+00 -4.880126e-03 -4.758168e-03
23 0 1.034811e+00 -4.880950e-03 -4.758353e-03
24 0 1.034810e+00 -4.882385e-03 -4.758507e-03
25 0 1.034809e+00 -4.883274e-03 -4.758553e-03
26 0 1.034807e+00 -4.884687e-03 -4.758678e-03
27 0 1.034805e+00 -4.885473e-03 -4.758892e-03
28 0 1.034802e+00 -4.887006e-03 -4.758955e-03
29 0 1.034799e+00 -4.888011e-03 -4.759188e-03
30 0 1.034795e+00 -4.889864e-03 -4.759227e-03
31 0 1.034789e+00 -4.891708e-03 -4.759613e-03
32 0 1.034783e+00 -4.894474e-03 -4.760189e-03
33 0 1.034775e+00 -4.897406e-03 -4.760379e-03
34 0 1.034768e+00 -4.900756e-03 -4.760709e-03
35 0 1.034758e+00 -4.904215e-03 -4.760886e-03
36 0 1.034749e+00 -4.908029e-03 -4.760820e-03
37 0 1.034740e+00 -4.911499e-03 -4.760799e-03
