x y rho u v
0 0 1.050646e+00 -7.152288e-03 -7.161594e-03
1 0 1.050645e+00 -7.154305e-03 -7.161458e-03
2 0 1.050643e+00 -7.155661e-03 -7.161635e-03
3 0 1.050639e+00 -7.157446e-03 -7.162224e-03
4 0 1.050637e+00 -7.158547e-03 -7.162323e-03
5 0 1.050633e+00 -7.160321e-03 -7.162359e-03
6 0 1.050629e+00 -7.161690e-03 -7.162515e-03
7 0 1.050625e+00 -7.163585e-03 -7.162711e-03
8 0 1.050621e+00 -7.165050e-03 -7.162873e-03
9 0 1.050616e+00 -7.167104e-03 -7.162656e-03
10 0 1.050610e+00 -7.168985e-03 -7.162681e-03
11 0 1.050604e+00 -7.170939e-03 -7.162640e-03
12 0 1.050598e+00 -7.172660e-03 -7.162780e-03
13 0 1.050593e+00 -7.174915e-03 -7.162837e-03
14 0 1.050588e+00 -7.176971e-03 -7.162916e-03
15 0 1.050582e+00 -7.178982e-03 -7.162847e-03
16 0 1.050577e+00 -7.181237e-03 -7.162701e-03
17 0 1.050572e+00 -7.183559e-03 -7.162864e-03
18 0 1.050567e+00 -7.185962e-03 -7.162895e-03
19 0 1.050561e+00 -7.188617e-03 -7.162855e-03
20 0 1.050555e+00 -7.191285e-03 -7.162717e-03
21 0 1.050548e+00 -7.193947e-03 -7.162781e-03
22 0 1.050541e+00 -7.196658e-03 -7.163048e-03
23 0 1.050534e+00 -7.199520e-03 -7.163206e-03
24 0 1.050527e+00 -7.201824e-03 -7.163144e-03
25 0 1.050521e+00 -7.204419e-03 -7.163170e-03
26 0 1.050514e+00 -7.206487e-03 -7.162999e-03
27 0 1.050508e+00 -7.208799e-03 -7.162662e-03
28 0 1.050502e+00 -7.210051e-03 -7.162523e-03
29 0 1.050497e+00 -7.212028e-03 -7.162402e-03
30 0 1.050491e+00 -7.213097e-03 -7.162219e-03
31 0 1.050486e+00 -7.214406e-03 -7.161990e-03
32 0 1.050481e+00 -7.214553e-03 -7.161892e-03
33 0 1.050476e+00 -7.215645e-03 -7.161499e-03
34 0 1.050471e+00 -7.215295e-03 -7.161462e-03
35 0 1.050466e+00 -7.215882e-03 -7.161325e-03
36 0 1.050461e+00 -7.215770e-03 -7.161125e-03
37 0 1.050457e+00 -7.215869e-03 -7.161094e-03
38 0 1.050452e+00 -7.215308e-03 -7.161086e-03
39 0 1.050448e+00 -7.214947e-03 -7.160989e-03
40 0 1.050444e+00 -7.214405e-03 -7.160865e-03
41 0 1.050440e+00 -7.213762e-03 -7.160756e-03
42 0 1.050436e+00 -7.213226e-03 -7.160476e-03
43 0 1.050433e+00 -7.212692e-03 -7.160430e-03
44 0 1.050430e+00 -7.212088e-03 -7.160195e-03
45 0 1.050427e+00 -7.211566e-03 -7.160134e-03
46 0 1.050424e+00 -7.210883e-03 -7.160018e-03
47 0 1.050421e+00 -7.209814e-03 -7.159853e-03
48 0 1.050417e+00 -7.208883e-03 -7.159882e-03
49 0 1.050413e+00 -7.208027e-03 -7.159809e-03
50 0 1.050410e+00 -7.206862e-03 -7.159772e-03
51 0 1.050407e+00 -7.206259e-03 -7.159830e-03
52 0 1.050404e+00 -7.205148e-03 -7.159951e-03
53 0 1.050401e+00 -7.204609e-03 -7.160046e-03
54 0 1.050398e+00 -7.203420e-03 -7.160079e-03
55 0 1.050395e+00 -7.202812e-03 -7.160003e-03
56 0 1.050393e+00 -7.201533e-03 -7.159919e-03
57 0 1.050391e+00 -7.201035e-03 -7.159811e-03
58 0 1.050389e+00 -7.199672e-03 -7.160026e-03
59 0 1.050387e+00 -7.198707e-03 -7.160211e-03
60 0 1.050384e+00 -7.197487e-03 -7.160313e-03
61 0 1.050383e+00 -7.197076e-03 -7.160361e-03
62 0 1.050381e+00 -7.196055e-03 -7.160449e-03
63 0 1.050379e+00 -7.195110e-03 -7.160421e-03
64 0 1.050378e+00 -7.193785e-03 -7.160523e-03
65 0 1.050377e+00 -7.193133e-03 -7.160397e-03
66 0 1.050376e+00 -7.192026e-03 -7.160414e-03
67 0 1.050375e+00 -7.191430e-03 -7.160177e-03
68 0 1.050374e+00 -7.190624e-03 -7.160112e-03
69 0 1.050373e+00 -7.190122e-03 -7.160292e-03
70 0 1.050373e+00 -7.189375e-03 -7.160467e-03
71 0 1.050373e+00 -7.188733e-03 -7.160824e-03
72 0 1.050374e+00 -7.187810e-03 -7.161019e-03
73 0 1.050375e+00 -7.187345e-03 -7.161131e-03
74 0 1.050376e+00 -7.186682e-03 -7.161034e-03
75 0 1.050377e+00 -7.185948e-03 -7.160986e-03
76 0 1.050379e+00 -7.185094e-03 -7.160889e-03
77 0 1.050381e+00 -7.184591e-03 -7.160873e-03
78 0 1.050384e+00 -7.183713e-03 -7.160851e-03
79 0 1.050386e+00 -7.183242e-03 -7.160737e-03
80 0 1.050390e+00 -7.182239e-03 -7.160656e-03
81 0 1.050394e+00 -7.181617e-03 -7.160400e-03
82 0 1.050398e+00 -7.180599e-03 -7.160367e-03
83 0 1.050403e+00 -7.179703e-03 -7.160340e-03
84 0 1.050408e+00 -7.178708e-03 -7.160006e-03
85 0 1.050414e+00 -7.177517e-03 -7.159905e-03
86 0 1.050420e+00 -7.176757e-03 -7.159862e-03
87 0 1.050426e+00 -7.175948e-03 -7.159868e-03
88 0 1.050432e+00 -7.174591e-03 -7.159810e-03
89 0 1.050439e+00 -7.173541e-03 -7.159784e-03
90 0 1.050446e+00 -7.172076e-03 -7.159877e-03
91 0 1.050453e+00 -7.170768e-03 -7.160102e-03
92 0 1.050462e+00 -7.169083e-03 -7.160270e-03
93 0 1.050469e+00 -7.167694e-03 -7.160410e-03
94 0 1.050478e+00 -7.165831e-03 -7.160279e-03
95 0 1.050485e+00 -7.164439e-03 -7.160384e-03
96 0 1.050493e+00 -7.162606e-03 -7.160081e-03
97 0 1.050501e+00 -7.161497e-03 -7.160559e-03
98 0 1.050508e+00 -7.160002e-03 -7.160545e-03
99 0 1.050516e+00 -7.158918e-03 -7.160714e-03
100 0 1.050524e+00 -7.157715e-03 -7.160745e-03
101 0 1.050531e+00 -7.157021e-03 -7.160984e-03
102 0 1.050539e+00 -7.155783e-03 -7.160916e-03
103 0 1.050547e+00 -7.155328e-03 -7.160970e-03
104 0 1.050555e+00 -7.154034e-03 -7.161152e-03
105 0 1.050562e+00 -7.153495e-03 -7.161489e-03
106 0 1.050569e+00 -7.152358e-03 -7.161405e-03
107 0 1.050576e+00 -7.151984e-03 -7.161405e-03
108 0 1.050583e+00 -7.150837e-03 -7.161424e-03
109 0 1.050590e+00 -7.150602e-03 -7.161392e-03
110 0 1.050596e+00 -7.149750e-03 -7.161457e-03
111 0 1.050602e+00 -7.149737e-03 -7.161526e-03
112 0 1.050607e+00 -7.149025e-03 -7.161439e-03
113 0 1.050612e+00 -7.148863e-03 -7.161410e-03
114 0 1.050617e+00 -7.148350e-03 -7.161475e-03
115 0 1.050622e+00 -7.148535e-03 -7.161581e-03
116 0 1.050626e+00 -7.148074e-03 -7.161422e-03
117 0 1.050630e+00 -7.148312e-03 -7.161318e-03
118 0 1.050633e+00 -7.148286e-03 -7.161149e-03
119 0 1.050636e+00 -7.148294e-03 -7.161110e-03
120 0 1.050638e+00 -7.148529e-03 -7.160982e-03
121 0 1.050640e+00 -7.148718e-03 -7.161173e-03
122 0 1.050643e+00 -7.148760e-03 -7.161266e-03
123 0 1.050645e+00 -7.148974e-03 -7.161290e-03
124 0 1.050645e+00 -7.149124e-03 -7.161101e-03
125 0 1.050645e+00 -7.149159e-03 -7.161054e-03
126 0 1.050646e+00 -7.149545e-03 -7.161178e-03
127 0 1.050646e+00 -7.150093e-03 -7.161695e-03
0 1 1.050646e+00 -7.150227e-03 -7.163931e-03
1 1 1.050644e+00 -7.151731e-03 -7.164045e-03
2 1 1.050642e+00 -7.152405e-03 -7.164086e-03
3 1 1.050639e+00 -7.153808e-03 -7.164631e-03
4 1 1.050636e+00 -7.154998e-03 -7.164850e-03
5 1 1.050632e+00 -7.156555e-03 -7.165137e-03
6 1 1.050629e+00 -7.157628e-03 -7.165256e-03
7 1 1.050624e+00 -7.159262e-03 -7.165485e-03
8 1 1.050620e+00 -7.160855e-03 -7.165336e-03
9 1 1.050615e+00 -7.162929e-03 -7.165340e-03
10 1 1.050610e+00 -7.164677e-03 -7.165312e-03
11 1 1.050604e+00 -7.166533e-03 -7.165356e-03
12 1 1.050599e+00 -7.168531e-03 -7.165398e-03
13 1 1.050593e+00 -7.170823e-03 -7.165529e-03
14 1 1.050588e+00 -7.172664e-03 -7.165405e-03
15 1 1.050583e+00 -7.175040e-03 -7.165332e-03
16 1 1.050577e+00 -7.177161e-03 -7.165450e-03
17 1 1.050573e+00 -7.179835e-03 -7.165435e-03
18 1 1.050567e+00 -7.182359e-03 -7.165445e-03
19 1 1.050561e+00 -7.185364e-03 -7.165357e-03
20 1 1.050555e+00 -7.188218e-03 -7.165215e-03
21 1 1.050548e+00 -7.191343e-03 -7.165341e-03
22 1 1.050541e+00 -7.194099e-03 -7.165403e-03
23 1 1.050534e+00 -7.197201e-03 -7.165492e-03
24 1 1.050527e+00 -7.199667e-03 -7.165584e-03
25 1 1.050520e+00 -7.202766e-03 -7.165729e-03
26 1 1.050514e+00 -7.204923e-03 -7.165742e-03
27 1 1.050507e+00 -7.207526e-03 -7.165422e-03
28 1 1.050501e+00 -7.209035e-03 -7.165352e-03
29 1 1.050496e+00 -7.211212e-03 -7.165086e-03
30 1 1.050490e+00 -7.212364e-03 -7.164998e-03
31 1 1.050485e+00 -7.213944e-03 -7.164797e-03
32 1 1.050480e+00 -7.214249e-03 -7.164628e-03
33 1 1.050476e+00 -7.215309e-03 -7.164223e-03
34 1 1.050471e+00 -7.215180e-03 -7.163975e-03
35 1 1.050466e+00 -7.215580e-03 -7.163770e-03
36 1 1.050461e+00 -7.215686e-03 -7.163611e-03
37 1 1.050456e+00 -7.215641e-03 -7.163407e-03
38 1 1.050452e+00 -7.215218e-03 -7.163193e-03
39 1 1.050448e+00 -7.214638e-03 -7.163045e-03
40 1 1.050444e+00 -7.214272e-03 -7.162837e-03
41 1 1.050440e+00 -7.213889e-03 -7.162851e-03
42 1 1.050437e+00 -7.213332e-03 -7.162792e-03
43 1 1.050433e+00 -7.212659e-03 -7.162548e-03
44 1 1.050430e+00 -7.212133e-03 -7.162470e-03
45 1 1.050427e+00 -7.211514e-03 -7.162529e-03
46 1 1.050424e+00 -7.210715e-03 -7.162360e-03
47 1 1.050420e+00 -7.209663e-03 -7.162422e-03
48 1 1.050417e+00 -7.208750e-03 -7.162492e-03
49 1 1.050413e+00 -7.207731e-03 -7.162563e-03
50 1 1.050410e+00 -7.206877e-03 -7.162643e-03
51 1 1.050406e+00 -7.206059e-03 -7.162618e-03
52 1 1.050403e+00 -7.205057e-03 -7.162644e-03
53 1 1.050400e+00 -7.204573e-03 -7.162631e-03
54 1 1.050397e+00 -7.203461e-03 -7.162676e-03
55 1 1.050394e+00 -7.202770e-03 -7.162566e-03
56 1 1.050392e+00 -7.201733e-03 -7.162669e-03
57 1 1.050390e+00 -7.201282e-03 -7.162846e-03
58 1 1.050388e+00 -7.200052e-03 -7.162996e-03
59 1 1.050386e+00 -7.199291e-03 -7.163163e-03
60 1 1.050383e+00 -7.198207e-03 -7.163191e-03
61 1 1.050382e+00 -7.197621e-03 -7.163031e-03
62 1 1.050380e+00 -7.196729e-03 -7.163142e-03
63 1 1.050379e+00 -7.195926e-03 -7.163260e-03
64 1 1.050377e+00 -7.194703e-03 -7.163243e-03
