x y rho u v
0 0 1.044260e+00 -6.188872e-03 -6.208020e-03
1 0 1.044265e+00 -6.185629e-03 -6.203720e-03
2 0 1.044269e+00 -6.183551e-03 -6.205159e-03
3 0 1.044275e+00 -6.181381e-03 -6.205238e-03
4 0 1.044280e+00 -6.178822e-03 -6.205708e-03
5 0 1.044284e+00 -6.176675e-03 -6.205718e-03
6 0 1.044289e+00 -6.174738e-03 -6.205743e-03
7 0 1.044295e+00 -6.172995e-03 -6.205732e-03
8 0 1.044299e+00 -6.171795e-03 -6.205957e-03
9 0 1.044304e+00 -6.170718e-03 -6.206071e-03
10 0 1.044310e+00 -6.169759e-03 -6.206048e-03
11 0 1.044315e+00 -6.168523e-03 -6.206093e-03
12 0 1.044319e+00 -6.167978e-03 -6.206127e-03
13 0 1.044323e+00 -6.167439e-03 -6.205881e-03
14 0 1.044328e+00 -6.167400e-03 -6.205927e-03
15 0 1.044333e+00 -6.167500e-03 -6.205972e-03
16 0 1.044337e+00 -6.167970e-03 -6.205944e-03
17 0 1.044340e+00 -6.168744e-03 -6.205933e-03
18 0 1.044344e+00 -6.169841e-03 -6.206157e-03
19 0 1.044348e+00 -6.171299e-03 -6.206251e-03
20 0 1.044351e+00 -6.172944e-03 -6.206311e-03
21 0 1.044353e+00 -6.174446e-03 -6.206380e-03
22 0 1.044356e+00 -6.176698e-03 -6.206835e-03
23 0 1.044357e+00 -6.178985e-03 -6.206933e-03
24 0 1.044360e+00 -6.181430e-03 -6.207003e-03
25 0 1.044362e+00 -6.184240e-03 -6.207223e-03
26 0 1.044364e+00 -6.186867e-03 -6.207321e-03
27 0 1.044365e+00 -6.190029e-03 -6.207460e-03
28 0 1.044366e+00 -6.193037e-03 -6.207420e-03
29 0 1.044368e+00 -6.196548e-03 -6.207419e-03
30 0 1.044368e+00 -6.199977e-03 -6.207493e-03
31 0 1.044368e+00 -6.203677e-03 -6.207656e-03
32 0 1.044368e+00 -6.207490e-03 -6.207724e-03
33 0 1.044368e+00 -6.211166e-03 -6.207840e-03
34 0 1.044368e+00 -6.214994e-03 -6.208004e-03
35 0 1.044368e+00 -6.218618e-03 -6.207947e-03
36 0 1.044368e+00 -6.222488e-03 -6.208022e-03
37 0 1.044368e+00 -6.226252e-03 -6.208043e-03
38 0 1.044367e+00 -6.229864e-03 -6.208039e-03
39 0 1.044365e+00 -6.233701e-03 -6.208010e-03
40 0 1.044364e+00 -6.237295e-03 -6.208118e-03
41 0 1.044363e+00 -6.240941e-03 -6.207871e-03
42 0 1.044361e+00 -6.244294e-03 -6.207839e-03
43 0 1.044358e+00 -6.247962e-03 -6.207708e-03
44 0 1.044356e+00 -6.251327e-03 -6.207689e-03
45 0 1.044354e+00 -6.254752e-03 -6.207570e-03
46 0 1.044351e+00 -6.257719e-03 -6.207723e-03
47 0 1.044348e+00 -6.260723e-03 -6.207721e-03
48 0 1.044346e+00 -6.263610e-03 -6.207654e-03
49 0 1.044342e+00 -6.266597e-03 -6.207702e-03
50 0 1.044340e+00 -6.269336e-03 -6.207732e-03
51 0 1.044337e+00 -6.272125e-03 -6.207697e-03
52 0 1.044334e+00 -6.274989e-03 -6.207698e-03
53 0 1.044331e+00 -6.277486e-03 -6.207641e-03
54 0 1.044328e+00 -6.280679e-03 -6.207868e-03
55 0 1.044326e+00 -6.282731e-03 -6.207833e-03
56 0 1.044324e+00 -6.285871e-03 -6.207750e-03
57 0 1.044320e+00 -6.287404e-03 -6.207713e-03
58 0 1.044317e+00 -6.290279e-03 -6.207923e-03
59 0 1.044314e+00 -6.292096e-03 -6.207687e-03
60 0 1.044311e+00 -6.294731e-03 -6.207764e-03
61 0 1.044307e+00 -6.296530e-03 -6.208116e-03
