x y rho u v
0 0 1.045254e+00 -6.393147e-03 -6.396520e-03
1 0 1.045249e+00 -6.395468e-03 -6.399542e-03
2 0 1.045244e+00 -6.397051e-03 -6.399407e-03
3 0 1.045238e+00 -6.398567e-03 -6.399856e-03
4 0 1.045233e+00 -6.400136e-03 -6.399715e-03
5 0 1.045228e+00 -6.401412e-03 -6.399502e-03
6 0 1.045223e+00 -6.402501e-03 -6.399329e-03
7 0 1.045219e+00 -6.403869e-03 -6.399189e-03
8 0 1.045215e+00 -6.404699e-03 -6.399143e-03
9 0 1.045212e+00 -6.405846e-03 -6.399063e-03
10 0 1.045207e+00 -6.406279e-03 -6.399018e-03
11 0 1.045202e+00 -6.407470e-03 -6.398914e-03
12 0 1.045198e+00 -6.408362e-03 -6.398830e-03
13 0 1.045193e+00 -6.409367e-03 -6.398906e-03
14 0 1.045189e+00 -6.410424e-03 -6.398753e-03
15 0 1.045184e+00 -6.411389e-03 -6.398892e-03
16 0 1.045179e+00 -6.412344e-03 -6.398733e-03
17 0 1.045175e+00 -6.412966e-03 -6.398734e-03
18 0 1.045170e+00 -6.413872e-03 -6.398865e-03
19 0 1.045166e+00 -6.414514e-03 -6.398652e-03
20 0 1.045161e+00 -6.415284e-03 -6.398642e-03
21 0 1.045157e+00 -6.415900e-03 -6.398420e-03
22 0 1.045153e+00 -6.416241e-03 -6.398467e-03
23 0 1.045147e+00 -6.416492e-03 -6.398483e-03
24 0 1.045143e+00 -6.416789e-03 -6.398503e-03
25 0 1.045138e+00 -6.417561e-03 -6.398703e-03
26 0 1.045133e+00 -6.418177e-03 -6.398496e-03
27 0 1.045127e+00 -6.418553e-03 -6.398485e-03
28 0 1.045123e+00 -6.419074e-03 -6.398520e-03
29 0 1.045117e+00 -6.419339e-03 -6.398567e-03
30 0 1.045111e+00 -6.419132e-03 -6.398529e-03
31 0 1.045105e+00 -6.418657e-03 -6.398756e-03
32 0 1.045098e+00 -6.418134e-03 -6.398763e-03
33 0 1.045091e+00 -6.417490e-03 -6.398614e-03
34 0 1.045084e+00 -6.416730e-03 -6.398601e-03
35 0 1.045076e+00 -6.415568e-03 -6.398493e-03
36 0 1.045068e+00 -6.414204e-03 -6.398717e-03
37 0 1.045061e+00 -6.412622e-03 -6.398550e-03
38 0 1.045053e+00 -6.411295e-03 -6.398550e-03
39 0 1.045046e+00 -6.409357e-03 -6.398427e-03
40 0 1.045038e+00 -6.407800e-03 -6.398438e-03
41 0 1.045031e+00 -6.405643e-03 -6.398396e-03
42 0 1.045025e+00 -6.404443e-03 -6.398229e-03
43 0 1.045018e+00 -6.402477e-03 -6.398305e-03
44 0 1.045012e+00 -6.401626e-03 -6.398445e-03
45 0 1.045007e+00 -6.400038e-03 -6.398736e-03
46 0 1.045003e+00 -6.399105e-03 -6.398504e-03
47 0 1.044999e+00 -6.398046e-03 -6.398601e-03
48 0 1.044995e+00 -6.397638e-03 -6.398641e-03
