x y rho u v
0 0 1.032886e+00 -4.551332e-03 -4.658612e-03
1 0 1.032889e+00 -4.554107e-03 -4.656087e-03
2 0 1.032890e+00 -4.557983e-03 -4.658118e-03
3 0 1.032891e+00 -4.561774e-03 -4.659329e-03
4 0 1.032892e+00 -4.564986e-03 -4.659859e-03
5 0 1.032892e+00 -4.569578e-03 -4.659954e-03
6 0 1.032892e+00 -4.573901e-03 -4.660087e-03
7 0 1.032892e+00 -4.578974e-03 -4.660039e-03
8 0 1.032891e+00 -4.583797e-03 -4.660103e-03
9 0 1.032890e+00 -4.589495e-03 -4.660163e-03
10 0 1.032889e+00 -4.595016e-03 -4.660262e-03
11 0 1.032888e+00 -4.601194e-03 -4.660353e-03
12 0 1.032886e+00 -4.606924e-03 -4.660584e-03
13 0 1.032885e+00 -4.613406e-03 -4.660605e-03
14 0 1.032884e+00 -4.619230e-03 -4.660523e-03
15 0 1.032882e+00 -4.625397e-03 -4.660398e-03
16 0 1.032882e+00 -4.631231e-03 -4.660472e-03
17 0 1.032880e+00 -4.636790e-03 -4.660385e-03
18 0 1.032879e+00 -4.642329e-03 -4.660551e-03
19 0 1.032877e+00 -4.647864e-03 -4.660284e-03
20 0 1.032875e+00 -4.653359e-03 -4.660244e-03
21 0 1.032873e+00 -4.658632e-03 -4.660244e-03
22 0 1.032871e+00 -4.664025e-03 -4.660184e-03
23 0 1.032870e+00 -4.668680e-03 -4.660124e-03
24 0 1.032869e+00 -4.673569e-03 -4.659957e-03
25 0 1.032867e+00 -4.678085e-03 -4.659937e-03
26 0 1.032865e+00 -4.682642e-03 -4.659663e-03
27 0 1.032864e+00 -4.687056e-03 -4.659634e-03
28 0 1.032862e+00 -4.691146e-03 -4.659563e-03
29 0 1.032860e+00 -4.695042e-03 -4.659221e-03
30 0 1.032859e+00 -4.698970e-03 -4.658980e-03
31 0 1.032857e+00 -4.702427e-03 -4.658855e-03
32 0 1.032856e+00 -4.705989e-03 -4.658776e-03
33 0 1.032855e+00 -4.709116e-03 -4.658659e-03
34 0 1.032853e+00 -4.712325e-03 -4.658614e-03
35 0 1.032851e+00 -4.714806e-03 -4.658519e-03
36 0 1.032850e+00 -4.717310e-03 -4.658622e-03
37 0 1.032847e+00 -4.719426e-03 -4.658435e-03
38 0 1.032846e+00 -4.722196e-03 -4.658266e-03
39 0 1.032845e+00 -4.723836e-03 -4.658100e-03
40 0 1.032844e+00 -4.726122e-03 -4.658049e-03
41 0 1.032842e+00 -4.727394e-03 -4.657842e-03
42 0 1.032841e+00 -4.729432e-03 -4.657777e-03
43 0 1.032839e+00 -4.730272e-03 -4.657699e-03
44 0 1.032838e+00 -4.731845e-03 -4.657778e-03
45 0 1.032836e+00 -4.732449e-03 -4.657603e-03
46 0 1.032834e+00 -4.733874e-03 -4.657593e-03
47 0 1.032832e+00 -4.733992e-03 -4.657454e-03
48 0 1.032830e+00 -4.734755e-03 -4.657390e-03
49 0 1.032828e+00 -4.734454e-03 -4.657424e-03
50 0 1.032826e+00 -4.734947e-03 -4.657313e-03
51 0 1.032825e+00 -4.734696e-03 -4.657099e-03
52 0 1.032823e+00 -4.735170e-03 -4.657219e-03
53 0 1.032820e+00 -4.734547e-03 -4.657094e-03
54 0 1.032818e+00 -4.734672e-03 -4.657079e-03
55 0 1.032816e+00 -4.733756e-03 -4.656851e-03
56 0 1.032814e+00 -4.733991e-03 -4.656933e-03
57 0 1.032812e+00 -4.733273e-03 -4.656905e-03
58 0 1.032809e+00 -4.733456e-03 -4.656841e-03
59 0 1.032808e+00 -4.732545e-03 -4.656934e-03
60 0 1.032805e+00 -4.732519e-03 -4.656888e-03
61 0 1.032802e+00 -4.731743e-03 -4.656757e-03
62 0 1.032800e+00 -4.731445e-03 -4.656751e-03
63 0 1.032797e+00 -4.729881e-03 -4.656695e-03
64 0 1.032794e+00 -4.729067e-03 -4.656583e-03
65 0 1.032792e+00 -4.727801e-03 -4.656470e-03
66 0 1.032789e+00 -4.726857e-03 -4.656469e-03
67 0 1.032786e+00 -4.725297e-03 -4.656503e-03
68 0 1.032784e+00 -4.724120e-03 -4.656381e-03
69 0 1.032781e+00 -4.722269e-03 -4.656110e-03
70 0 1.032778e+00 -4.720597e-03 -4.655827e-03
71 0 1.032774e+00 -4.718519e-03 -4.655940e-03
72 0 1.032771e+00 -4.716361e-03 -4.656193e-03
73 0 1.032767e+00 -4.713795e-03 -4.656089e-03
74 0 1.032764e+00 -4.711482e-03 -4.656101e-03
75 0 1.032760e+00 -4.708837e-03 -4.656011e-03
76 0 1.032757e+00 -4.706760e-03 -4.656149e-03
77 0 1.032754e+00 -4.703894e-03 -4.656171e-03
78 0 1.032750e+00 -4.701186e-03 -4.656191e-03
79 0 1.032747e+00 -4.698231e-03 -4.655933e-03
80 0 1.032744e+00 -4.695680e-03 -4.655916e-03
81 0 1.032741e+00 -4.692300e-03 -4.655769e-03
82 0 1.032738e+00 -4.689885e-03 -4.655689e-03
83 0 1.032735e+00 -4.686631e-03 -4.655748e-03
84 0 1.032732e+00 -4.684030e-03 -4.655703e-03
85 0 1.032730e+00 -4.680998e-03 -4.655870e-03
86 0 1.032728e+00 -4.678641e-03 -4.655919e-03
87 0 1.032726e+00 -4.675049e-03 -4.655747e-03
88 0 1.032724e+00 -4.672429e-03 -4.655599e-03
89 0 1.032722e+00 -4.669164e-03 -4.655676e-03
90 0 1.032721e+00 -4.666175e-03 -4.655638e-03
91 0 1.032720e+00 -4.662833e-03 -4.655779e-03
92 0 1.032719e+00 -4.659496e-03 -4.655901e-03
93 0 1.032719e+00 -4.656331e-03 -4.655770e-03
94 0 1.032719e+00 -4.652688e-03 -4.655795e-03
95 0 1.032719e+00 -4.649236e-03 -4.655865e-03
96 0 1.032719e+00 -4.645826e-03 -4.655636e-03
97 0 1.032721e+00 -4.642351e-03 -4.655581e-03
98 0 1.032722e+00 -4.638788e-03 -4.655704e-03
99 0 1.032722e+00 -4.635386e-03 -4.655796e-03
100 0 1.032724e+00 -4.632282e-03 -4.655819e-03
101 0 1.032727e+00 -4.628826e-03 -4.655759e-03
102 0 1.032730e+00 -4.625694e-03 -4.655905e-03
103 0 1.032733e+00 -4.621811e-03 -4.655912e-03
104 0 1.032736e+00 -4.618452e-03 -4.655949e-03
105 0 1.032739e+00 -4.614664e-03 -4.655999e-03
106 0 1.032742e+00 -4.611290e-03 -4.656111e-03
107 0 1.032746e+00 -4.607505e-03 -4.656091e-03
108 0 1.032751e+00 -4.604605e-03 -4.656373e-03
109 0 1.032756e+00 -4.600996e-03 -4.656277e-03
110 0 1.032761e+00 -4.598354e-03 -4.656535e-03
111 0 1.032767e+00 -4.594853e-03 -4.656361e-03
112 0 1.032773e+00 -4.591858e-03 -4.656579e-03
113 0 1.032779e+00 -4.588289e-03 -4.656286e-03
114 0 1.032786e+00 -4.585112e-03 -4.656614e-03
115 0 1.032793e+00 -4.581358e-03 -4.656506e-03
116 0 1.032801e+00 -4.578477e-03 -4.656866e-03
