x y rho u v
0 0 1.022399e+00 -3.225347e-03 -3.191548e-03
1 0 1.022400e+00 -3.227451e-03 -3.199333e-03
2 0 1.022401e+00 -3.224627e-03 -3.198897e-03
3 0 1.022402e+00 -3.226210e-03 -3.197869e-03
4 0 1.022403e+00 -3.225389e-03 -3.197619e-03
5 0 1.022403e+00 -3.227428e-03 -3.197650e-03
6 0 1.022404e+00 -3.226021e-03 -3.197695e-03
7 0 1.022405e+00 -3.228330e-03 -3.197710e-03
8 0 1.022405e+00 -3.226748e-03 -3.197739e-03
9 0 1.022406e+00 -3.228908e-03 -3.197660e-03
10 0 1.022406e+00 -3.226839e-03 -3.197677e-03
11 0 1.022406e+00 -3.228727e-03 -3.197971e-03
12 0 1.022406e+00 -3.226190e-03 -3.198081e-03
13 0 1.022406e+00 -3.227994e-03 -3.198327e-03
14 0 1.022405e+00 -3.225364e-03 -3.198738e-03
15 0 1.022405e+00 -3.226987e-03 -3.198708e-03
16 0 1.022404e+00 -3.223885e-03 -3.198926e-03
17 0 1.022403e+00 -3.225006e-03 -3.198994e-03
18 0 1.022401e+00 -3.221890e-03 -3.198995e-03
19 0 1.022399e+00 -3.222290e-03 -3.199029e-03
20 0 1.022397e+00 -3.219206e-03 -3.199211e-03
21 0 1.022395e+00 -3.219675e-03 -3.199199e-03
22 0 1.022392e+00 -3.216025e-03 -3.199412e-03
23 0 1.022389e+00 -3.216401e-03 -3.199647e-03
24 0 1.022385e+00 -3.212519e-03 -3.199616e-03
25 0 1.022382e+00 -3.212559e-03 -3.199663e-03
26 0 1.022378e+00 -3.208307e-03 -3.199620e-03
27 0 1.022374e+00 -3.207232e-03 -3.199829e-03
28 0 1.022371e+00 -3.202716e-03 -3.199850e-03
29 0 1.022367e+00 -3.201419e-03 -3.200138e-03
30 0 1.022364e+00 -3.197260e-03 -3.200264e-03
31 0 1.022361e+00 -3.195831e-03 -3.200431e-03
32 0 1.022357e+00 -3.191275e-03 -3.200616e-03
33 0 1.022353e+00 -3.189832e-03 -3.200727e-03
34 0 1.022350e+00 -3.185375e-03 -3.200918e-03
35 0 1.022346e+00 -3.183824e-03 -3.201085e-03
36 0 1.022342e+00 -3.179070e-03 -3.201256e-03
37 0 1.022338e+00 -3.176815e-03 -3.201509e-03
38 0 1.022335e+00 -3.172040e-03 -3.201633e-03
39 0 1.022331e+00 -3.169480e-03 -3.201837e-03
40 0 1.022328e+00 -3.165194e-03 -3.202204e-03
41 0 1.022325e+00 -3.162734e-03 -3.202345e-03
42 0 1.022322e+00 -3.158425e-03 -3.202460e-03
43 0 1.022319e+00 -3.155141e-03 -3.202636e-03
44 0 1.022318e+00 -3.150912e-03 -3.202671e-03
45 0 1.022317e+00 -3.147288e-03 -3.203112e-03
46 0 1.022316e+00 -3.142776e-03 -3.203322e-03
47 0 1.022317e+00 -3.138979e-03 -3.203714e-03
48 0 1.022318e+00 -3.134412e-03 -3.203942e-03
49 0 1.022321e+00 -3.130442e-03 -3.204416e-03
50 0 1.022323e+00 -3.125997e-03 -3.204866e-03
51 0 1.022328e+00 -3.121730e-03 -3.205295e-03
52 0 1.022333e+00 -3.117109e-03 -3.205424e-03
53 0 1.022339e+00 -3.112037e-03 -3.205632e-03
54 0 1.022346e+00 -3.107046e-03 -3.206012e-03
55 0 1.022354e+00 -3.102174e-03 -3.206358e-03
56 0 1.022363e+00 -3.097784e-03 -3.206787e-03
57 0 1.022374e+00 -3.093473e-03 -3.207206e-03
58 0 1.022387e+00 -3.090175e-03 -3.207674e-03
59 0 1.022399e+00 -3.086478e-03 -3.207834e-03
60 0 1.022412e+00 -3.083698e-03 -3.207893e-03
61 0 1.022424e+00 -3.079960e-03 -3.208090e-03
62 0 1.022435e+00 -3.077619e-03 -3.208280e-03
63 0 1.022445e+00 -3.073844e-03 -3.208536e-03
64 0 1.022455e+00 -3.072342e-03 -3.208814e-03
65 0 1.022464e+00 -3.069402e-03 -3.209106e-03
66 0 1.022473e+00 -3.068995e-03 -3.209366e-03
67 0 1.022481e+00 -3.067235e-03 -3.209791e-03
68 0 1.022488e+00 -3.068343e-03 -3.210035e-03
69 0 1.022494e+00 -3.067852e-03 -3.210229e-03
70 0 1.022499e+00 -3.070662e-03 -3.210325e-03
71 0 1.022503e+00 -3.070971e-03 -3.210726e-03
72 0 1.022505e+00 -3.074546e-03 -3.210995e-03
73 0 1.022505e+00 -3.075730e-03 -3.211292e-03
74 0 1.022506e+00 -3.080345e-03 -3.211520e-03
75 0 1.022505e+00 -3.082500e-03 -3.211661e-03
76 0 1.022503e+00 -3.088099e-03 -3.211627e-03
77 0 1.022501e+00 -3.090776e-03 -3.211639e-03
78 0 1.022498e+00 -3.097117e-03 -3.211607e-03
79 0 1.022493e+00 -3.099719e-03 -3.211507e-03
80 0 1.022488e+00 -3.106472e-03 -3.211375e-03
81 0 1.022483e+00 -3.108936e-03 -3.211530e-03
82 0 1.022477e+00 -3.116024e-03 -3.211437e-03
83 0 1.022471e+00 -3.118816e-03 -3.211446e-03
84 0 1.022466e+00 -3.125842e-03 -3.211357e-03
85 0 1.022461e+00 -3.129131e-03 -3.211041e-03
86 0 1.022456e+00 -3.136338e-03 -3.210976e-03
87 0 1.022452e+00 -3.139396e-03 -3.210572e-03
88 0 1.022447e+00 -3.146024e-03 -3.210353e-03
89 0 1.022442e+00 -3.148078e-03 -3.210136e-03
90 0 1.022437e+00 -3.154064e-03 -3.209661e-03
91 0 1.022432e+00 -3.155539e-03 -3.209546e-03
92 0 1.022427e+00 -3.161444e-03 -3.209421e-03
93 0 1.022422e+00 -3.162590e-03 -3.209460e-03
94 0 1.022418e+00 -3.168313e-03 -3.209182e-03
95 0 1.022415e+00 -3.168759e-03 -3.208817e-03
