x y rho u v
0 0 1.038044e+00 -5.280799e-03 -5.316570e-03
1 0 1.038050e+00 -5.281681e-03 -5.311268e-03
2 0 1.038055e+00 -5.283719e-03 -5.312338e-03
3 0 1.038059e+00 -5.285963e-03 -5.313086e-03
4 0 1.038062e+00 -5.288241e-03 -5.313559e-03
5 0 1.038065e+00 -5.290754e-03 -5.313687e-03
6 0 1.038065e+00 -5.293737e-03 -5.313891e-03
7 0 1.038065e+00 -5.297029e-03 -5.314408e-03
8 0 1.038064e+00 -5.301103e-03 -5.314610e-03
9 0 1.038062e+00 -5.304648e-03 -5.314798e-03
10 0 1.038059e+00 -5.309371e-03 -5.314824e-03
11 0 1.038056e+00 -5.313509e-03 -5.314982e-03
12 0 1.038052e+00 -5.318582e-03 -5.314646e-03
13 0 1.038048e+00 -5.322584e-03 -5.314779e-03
14 0 1.038043e+00 -5.327797e-03 -5.314624e-03
15 0 1.038039e+00 -5.331919e-03 -5.314614e-03
16 0 1.038033e+00 -5.337842e-03 -5.314604e-03
17 0 1.038027e+00 -5.341837e-03 -5.314779e-03
18 0 1.038021e+00 -5.347279e-03 -5.314746e-03
19 0 1.038015e+00 -5.351210e-03 -5.314930e-03
20 0 1.038008e+00 -5.356549e-03 -5.314863e-03
21 0 1.038002e+00 -5.360576e-03 -5.314933e-03
22 0 1.037997e+00 -5.365848e-03 -5.314661e-03
23 0 1.037990e+00 -5.369436e-03 -5.314648e-03
24 0 1.037983e+00 -5.374264e-03 -5.314748e-03
25 0 1.037976e+00 -5.377842e-03 -5.314918e-03
26 0 1.037969e+00 -5.382791e-03 -5.314842e-03
27 0 1.037961e+00 -5.386241e-03 -5.314959e-03
28 0 1.037954e+00 -5.390977e-03 -5.314919e-03
29 0 1.037946e+00 -5.394355e-03 -5.314876e-03
30 0 1.037938e+00 -5.398974e-03 -5.314777e-03
31 0 1.037931e+00 -5.402442e-03 -5.314859e-03
32 0 1.037924e+00 -5.406470e-03 -5.314944e-03
33 0 1.037917e+00 -5.409264e-03 -5.314712e-03
34 0 1.037911e+00 -5.412696e-03 -5.314709e-03
35 0 1.037905e+00 -5.414810e-03 -5.314767e-03
36 0 1.037899e+00 -5.417728e-03 -5.314392e-03
37 0 1.037893e+00 -5.419303e-03 -5.314300e-03
